spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	BE	Belgium	sp.a	sp.a	57253967150	Facebook	408	1	32038574	12153994	125291	28099
0_1k	0 - 1k	BE	Belgium	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	113	1	26287636	10892896	60584	17298
0_1k	0 - 1k	BE	Belgium	CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	114	1	11643963	5531538	45181	9299
0_1k	0 - 1k	BE	Belgium	Open Vld	Open Vld	53668151866	Facebook	343	1	9065009	3225823	65752	10699
0_1k	0 - 1k	BE	Belgium	European Parliament		178362315106	Facebook	155	1	8980378	3732987	43387	10712
0_1k	0 - 1k	BE	Belgium	Groen	Groen	84920854319	Facebook	180	1	7670066	2706422	37206	5399
0_1k	0 - 1k	BE	Belgium	Peter Mertens	PVDA	236485149843971	Facebook	573	1	7064036	2054048	84329	8287
0_1k	0 - 1k	BE	Belgium	John Crombez	sp.a	264131406977201	Facebook	84	1	6438915	2555999	36415	7299
0_1k	0 - 1k	BE	Belgium	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	73	1	5984927	2565000	38627	13900
0_1k	0 - 1k	BE	Belgium	IKEA	IKEA	112961202185776	Facebook	78	1	4840907	1800993	18421	3499
0_1k	0 - 1k	BE	Belgium	Vlaams Belang	Vlaams Belang	56605856504	Facebook	35	1	4825965	2008000	21965	8200
0_1k	0 - 1k	BE	Belgium	VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	127	1	4251788	1415978	37170	8899
0_1k	0 - 1k	BE	Belgium	Wacky Politicians	Ladbrokes Belgium	325449998160769	Facebook	87	1	4241912	1638999	11013	600
0_1k	0 - 1k	BE	Belgium	Parti Socialiste (PS)	Parti Socialiste (PS)	518402351504731	Facebook	106	1	4031358	1275579	22383	3798
0_1k	0 - 1k	BE	Belgium	DéFI	DéFI	173518112695794	Facebook	149	1	3880629	951943	22849	2299
0_1k	0 - 1k	BE	Belgium	Sign for my Future		1345513882259768	Facebook	67	1	3702933	1452000	24233	6600
0_1k	0 - 1k	BE	Belgium	Vlaams Belang Brussel	Vlaams Belang	499682940133305	Facebook	71	1	2814909	974996	27828	8499
0_1k	0 - 1k	BE	Belgium	CD&V	CD&V	52997544531	Facebook	101	1	2594894	805997	18898	2500
0_1k	0 - 1k	BE	Belgium	Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	13	1	2549819	1129962	10485	4499
0_1k	0 - 1k	BE	Belgium	Kialo		729627343834501	Facebook	370	1	2290813	865963	16029	3566
0_1k	0 - 1k	BE	Belgium	Party of European Socialists	Party of European Socialists	148097975226385	Facebook	95	1	1972310	622813	6555	325
0_1k	0 - 1k	BE	Belgium	Tout sur le nucléaire / Alles over kernenergie		585236024850280	Facebook	12	1	1904967	790992	6587	1899
0_1k	0 - 1k	BE	Belgium	Mutualité chrétienne (MC)	Mutualité chrétienne (MC)	180233078762668	Facebook	61	1	1779938	533999	9838	1499
0_1k	0 - 1k	BE	Belgium	MR - Mouvement Réformateur	MR - Mouvement Réformateur	236330169511	Facebook	46	1	1546747	461397	12136	1897
0_1k	0 - 1k	BE	Belgium	Maurits Vande Reyde	Vande Reyde Maurits Jozef	1797427180478228	Facebook	83	1	1525916	436999	10617	600
