audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	AT	Austria	9973	1335	24991643	8814607	226634	34088
m18_24	male (18-24)	AT	Austria	9339	1214	21557092	7515021	184842	25689
f18_24	female (18-24)	AT	Austria	9357	1232	17185582	6077352	134834	17152
f25_34	female (25-34)	AT	Austria	10119	1358	16446045	5899841	149246	21360
m35_44	male (35-44)	AT	Austria	9642	1290	15515922	5391745	151849	22831
m45_54	male (45-54)	AT	Austria	9238	1247	12122176	4064078	128162	17732
f35_44	female (35-44)	AT	Austria	9846	1319	10731784	3738624	109327	15430
f45_54	female (45-54)	AT	Austria	9474	1268	9788867	3304886	106684	14086
m55_64	male (55-64)	AT	Austria	8297	1158	7647700	2485532	86644	10886
f55_64	female (55-64)	AT	Austria	8564	1171	7579040	2505109	87847	10933
m65_	male (65+)	AT	Austria	7251	1024	4220566	1355439	49892	6117
f65_	female (65+)	AT	Austria	7322	1035	4104513	1341119	47820	6008
f13_17	female (13-17)	AT	Austria	4089	366	3914383	1302081	29862	3516
m13_17	male (13-17)	AT	Austria	4321	360	3463815	1123643	32419	3496
u25_34	unknown (25-34)	AT	Austria	6800	1122	247427	85101	2347	312
u35_44	unknown (35-44)	AT	Austria	6726	1101	224123	75717	2208	304
u45_54	unknown (45-54)	AT	Austria	5691	1008	106276	34755	1131	145
u18_24	unknown (18-24)	AT	Austria	4764	891	65961	22542	573	71
u65_	unknown (65+)	AT	Austria	3998	808	56490	18095	628	70
u55_64	unknown (55-64)	AT	Austria	4157	849	48169	15207	528	65
u13_17	unknown (13-17)	AT	Austria	1325	243	13850	4525	117	12
