advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	50k_100k	50k - 100k	185	1	18499815	9250000	128465	39228
European Parliament		178362315106	Facebook	50k_100k	50k - 100k	184	1	18399816	9200000	95314	27456
People's Vote UK	People's Vote	748608695327755	Facebook	50k_100k	50k - 100k	145	1	14499855	7250000	140546	40617
Ciudadanos	Ciudadanos	74078667754	Facebook	50k_100k	50k - 100k	138	1	13799862	6900000	70962	15700
Kialo		729627343834501	Facebook	50k_100k	50k - 100k	126	1	12599874	6300000	80651	20791
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	50k_100k	50k - 100k	92	1	9199908	4600000	67589	26036
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	50k_100k	50k - 100k	90	1	8999910	4500000	57755	15043
The Labour Party	The Labour Party	25749647410	Facebook	50k_100k	50k - 100k	84	1	8399916	4200000	63548	18630
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	50k_100k	50k - 100k	79	1	7899921	3950000	38721	8000
FDP	FDP	21289227249	Facebook	50k_100k	50k - 100k	71	1	7099929	3550000	36129	8100
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	50k_100k	50k - 100k	70	1	6999930	3500000	34130	6800
sp.a	sp.a	57253967150	Facebook	50k_100k	50k - 100k	60	1	5999940	3000000	34140	7100
SPD	SPD	47930567748	Facebook	50k_100k	50k - 100k	55	1	5499945	2750000	43445	15600
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	50k_100k	50k - 100k	52	1	5199948	2600000	25937	6135
European Greens		141366725876424	Facebook	50k_100k	50k - 100k	51	1	5099949	2550000	38049	10000
PSOE	PSOE	189318235003	Facebook	50k_100k	50k - 100k	51	1	5099949	2550000	16649	2900
We are the 52%	We are the 52%	466744973727718	Facebook	50k_100k	50k - 100k	51	1	5099949	2550000	21117	3818
Partido Popular	Partido Popular	72249031214	Facebook	50k_100k	50k - 100k	49	1	4899951	2450000	24251	5400
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	50k_100k	50k - 100k	149	1	4485346	448534	2242	0
Greenpeace Deutschland		22541752487	Facebook	50k_100k	50k - 100k	44	1	4399956	2200000	22656	5400
38 Degrees	38 Degrees	200006375787	Facebook	50k_100k	50k - 100k	42	1	4199958	2100000	24252	4860
Podemos	Unidas Podemos	269212336568846	Facebook	50k_100k	50k - 100k	39	1	3899961	1950000	20461	4700
Best For Britain	Best for Britain	1863944713844924	Facebook	50k_100k	50k - 100k	39	1	3899961	1950000	57814	17126
Sosialidemokraatit SDP		108945982480217	Facebook	50k_100k	50k - 100k	38	1	3799962	1900000	22062	6500
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	50k_100k	50k - 100k	36	1	3599964	1800000	20964	6000
