media_code_filter	media_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
video	Video	Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	42	1	141810000	14180000	729050	41900
video	Video	Future Innovation SRL		AR474748779908562944	Google	16	1	78100000	7810000	273050	4800
video	Video	ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	110	1	23150000	2300000	237650	6000
video	Video	COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	5	1	22010000	2200000	90550	1550
video	Video	Suomen Keskusta r.p.		AR441112520191639552	Google	32	1	18950000	1880000	304700	5400
video	Video	Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	15	1	17700000	1770000	214000	3900
video	Video	Freiheitliche Partei Österreich		AR333020356698701824	Google	4	1	12100000	1210000	91000	30600
video	Video	SOCIALDEMOKRATIET		AR271193993235136512	Google	18	1	10800000	1080000	333500	5850
video	Video	Liberal Alliance		AR183859784640888832	Google	89	1	9890000	940000	202150	5000
video	Video	Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	36	1	8100000	800000	11250	1050
video	Video	Venstres Landsorganisation		AR283015942256984064	Google	54	1	5760000	540000	307150	5550
video	Video	KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	104	1	4910000	430000	11050	650
video	Video	Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	9	1	4500000	450000	93000	1800
video	Video	COALICION CANARIA		AR489541609348661248	Google	18	1	4320000	420000	33100	750
video	Video	Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	33	1	4200000	400000	95550	1950
video	Video	Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	5	1	3110000	310000	90550	1550
video	Video	DOPRAVA		AR56197688563073024	Google	3	1	3000000	300000	60500	1050
video	Video	Kansallinen Kokoomus r.p.		AR210958348219056128	Google	7	1	2410000	240000	62050	1200
video	Video	Petteri Rädyn tukiyhdistys ry		AR427131130332839936	Google	6	1	2400000	240000	91500	1650
video	Video	Párbeszéd Magyarországért		AR567356246269624320	Google	10	1	2350000	230000	1400	100
video	Video	Sozialdemokratische Partei Österreich		AR89974685768351744	Google	6	1	2220000	220000	61100	1100
video	Video	Partido Animalista PACMA		AR145115193901318144	Google	2	1	2000000	200000	60000	1000
video	Video	Start Business Hellas Single Member P.C.		AR513164341793521664	Google	2	1	2000000	200000	60000	1000
video	Video	Socialdemokratiet		AR237678679797268480	Google	33	1	1590000	140000	8400	750
video	Video	Kresťanská únia		AR358916054556082176	Google	3	1	1200000	120000	1050	100
video	Video	Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	1	1	1000000	100000	30000	500
video	Video	Hämeen Uusi Suunta ry		AR330633591832707072	Google	18	1	900000	80000	64400	1400
video	Video	Bündnis90/ Die Grünen		AR207068276079984640	Google	9	1	810000	80000	63500	1350
video	Video	EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	8	1	530000	50000	2200	200
video	Video	Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	5	1	500000	50000	2500	250
video	Video	Flamesite s.r.o.		AR522320249995919360	Google	24	1	420000	20000	1650	50
video	Video	Fianna Fáil		AR101183107301900288	Google	14	1	410000	30000	2500	200
video	Video	Pirkanmaan Kokoomus ry		AR571246318408695808	Google	4	1	400000	40000	2000	200
video	Video	Sozialdemokratische Partei Deutschlands SPD		AR224933965641809920	Google	4	1	400000	40000	1100	100
