advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	50k_100k	50k - 100k	EE	Estonia	5	1	499995	250000	3995	1700
Igor Gräzin	Igor Gräzin	339367456669277	Facebook	50k_100k	50k - 100k	EE	Estonia	5	1	499995	250000	2495	500
Taavi Rõivas	Roivas Taavi	1033457073332454	Facebook	50k_100k	50k - 100k	EE	Estonia	4	1	399995	199999	1995	399
Inimõiguste Instituut / Estonian Institute of Human Rights		144333745668266	Facebook	50k_100k	50k - 100k	EE	Estonia	3	1	299997	150000	1497	300
Sotsiaaldemokraatlik Erakond	Sotsiaaldemokraatlik Erakond	123310201026539	Facebook	50k_100k	50k - 100k	EE	Estonia	2	1	199998	99999	598	100
Toitumisnõustaja Erik Orgu		592673214085550	Facebook	50k_100k	50k - 100k	EE	Estonia	2	1	199998	100000	998	200
European Greens	European Greens	141366725876424	Facebook	50k_100k	50k - 100k	EE	Estonia	2	1	100756	50378	502	100
Anti Poolamets - EKRE kandidaat Europarlamenti	Anti Poolamets	1532805486974348	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	99999	50000	499	100
Rimi Eesti		217485440760	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	99999	50000	498	99
Veriff		959442754113350	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	99998	49999	444	89
Kialo		729627343834501	Facebook	50k_100k	50k - 100k	EE	Estonia	71	1	32331	16165	170	50
Швеция		1001119573268082	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	25444	12722	11	2
Sosialidemokraatit SDP		108945982480217	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	20077	10038	100	20
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	50k_100k	50k - 100k	EE	Estonia	13	1	6092	3046	26	5
Democracy Alive		277008469606499	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	4371	2185	21	4
I Hate Bernie Sanders		105344429817836	Facebook	50k_100k	50k - 100k	EE	Estonia	2	1	2430	1215	16	3
NOFIR - bringing value to marine waste		467976939969473	Facebook	50k_100k	50k - 100k	EE	Estonia	2	1	1941	970	2	0
NATO Strategic Communications Centre of Excellence		1456516717932002	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	1771	885	1	0
АТОН		269320383095938	Facebook	50k_100k	50k - 100k	EE	Estonia	2	1	1701	850	11	2
FontBundles.net		1653056048283270	Facebook	50k_100k	50k - 100k	EE	Estonia	2	1	1410	705	8	1
Council of the European Union		147547541961576	Facebook	50k_100k	50k - 100k	EE	Estonia	2	1	1330	665	6	1
European Youth		130456876990360	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	1150	575	5	1
Guardian Weekly		64525551258	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	1099	549	6	1
Coconut Bowls		451945511677873	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	1094	547	0	0
Talking Europe		316028505828375	Facebook	50k_100k	50k - 100k	EE	Estonia	1	1	860	430	4	0
