advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SPÖ	SPÖ	77393060080	Facebook	AT	Austria	801	1	22053156	7456937	177950	27497
Harald Vilimsky		547597092025909	Facebook	AT	Austria	182	1	18279671	7744537	175504	40797
European Parliament		178362315106	Facebook	AT	Austria	134	1	11256013	4724509	107830	29410
Claudia Gamon	NEOS	447992848717452	Facebook	AT	Austria	308	1	10349683	3529996	67291	11399
Andreas Schieder	SPÖ	290881691011354	Facebook	AT	Austria	178	1	9550456	3156461	78533	15331
Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	AT	Austria	1697	1	8937690	1995856	193230	6598
kontrast.at	kontrast.at	1079650008770485	Facebook	AT	Austria	115	1	8903879	3609997	46684	14599
Die Grünen	Die Grünen	21759893033	Facebook	AT	Austria	121	1	7771858	2677991	64078	13499
HC Strache	FPÖ	74865038590	Facebook	AT	Austria	77	1	5952918	2492997	37622	9799
Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	AT	Austria	609	1	5549363	1617989	67090	1699
Europäisches Parlament Österreich		124468054313069	Facebook	AT	Austria	35	1	5244887	2164967	22564	7299
Stadt Wien	Stadt Wien	110971788921077	Facebook	AT	Austria	50	1	3973950	1579000	19550	3700
European Greens		141366725876424	Facebook	AT	Austria	52	1	3891006	1729983	26750	7156
Karoline Edtstadler	Salzburger Volkspartei	1580540041983231	Facebook	AT	Austria	298	1	3813341	894881	44998	3899
Europäische Kommission - Vertretung in Österreich		187626534620326	Facebook	AT	Austria	21	1	3329957	1371991	6078	999
Dominik Nepp		135953609780627	Facebook	AT	Austria	97	1	2475903	923000	24403	4300
Johann Gudenus		104145976305577	Facebook	AT	Austria	53	1	2133934	861993	12146	1999
OÖVP - die Oberösterreichische Volkspartei	Oberösterreichische Volkspartei	289163077789256	Facebook	AT	Austria	45	1	2114955	558000	6055	400
Othmar Karas	Volkspartei	395638503864459	Facebook	AT	Austria	459	1	2000541	419000	53441	2000
FPÖ	FPÖ	169051073236170	Facebook	AT	Austria	17	1	1610982	691999	12782	3099
Julia Herr	Sozialistische Jugend Österreich	345172509462824	Facebook	AT	Austria	30	1	1559965	587997	16269	4199
Wirtschaftskammer		125946327466544	Facebook	AT	Austria	167	1	1344833	341000	19733	800
SPÖ Kärnten	SPÖ Kärnten	10150145829810364	Facebook	AT	Austria	40	1	1264960	411000	10060	1800
Werner Kogler	Die Grünen	133612666671985	Facebook	AT	Austria	16	1	1121984	360000	11384	2499
Günther Sidl	BSA Niederösterreich	806694216374998	Facebook	AT	Austria	19	1	1119981	442000	4581	1500
