spend_code_filter	spend_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	AMERISOFT SRL		AR573801583431647232	Google	216	1	161730000	16090000	17549	749
0_1k	0 - 1k	European Parliament		178362315106	Facebook	1647	1	135721367	57517465	442908	106708
0_1k	0 - 1k	Ciudadanos	Ciudadanos	74078667754	Facebook	6227	1	80900772	23333000	796773	50300
0_1k	0 - 1k	Britain's Future	Britain's Future	1625300137516491	Facebook	4488	1	79201900	23817663	961651	115993
0_1k	0 - 1k	Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	850	1	68879999	6260000	65399	2550
0_1k	0 - 1k	Kialo		729627343834501	Facebook	746	1	62190980	23670977	359746	85724
0_1k	0 - 1k	Partido Popular	Partido Popular	72249031214	Facebook	3617	1	60845382	18177000	446583	30100
0_1k	0 - 1k	People's Vote UK	People's Vote	748608695327755	Facebook	3495	1	60098045	17161720	768688	99058
0_1k	0 - 1k	COALICION CANARIA		AR489541609348661248	Google	3716	1	55060000	1889999	191599	649
0_1k	0 - 1k	Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	176	1	42620000	4230000	8800	0
0_1k	0 - 1k	SPD	SPD	47930567748	Facebook	8809	1	41438191	10074999	998391	40100
0_1k	0 - 1k	Podemos	Unidas Podemos	269212336568846	Facebook	238	1	40071762	17149000	127662	45000
0_1k	0 - 1k	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	3883	1	40016227	12136520	564497	35554
0_1k	0 - 1k	CDU	CDU	78502295414	Facebook	3170	1	38647830	9275000	347030	8300
0_1k	0 - 1k	COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	251	1	34000000	3290000	47599	4100
0_1k	0 - 1k	Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	120	1	33149999	3239999	10050	450
0_1k	0 - 1k	sp.a	sp.a	57253967150	Facebook	410	1	32403589	12304999	127890	28700
0_1k	0 - 1k	FDP	FDP	21289227249	Facebook	2164	1	31153836	9415000	269736	14700
0_1k	0 - 1k	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2329	1	31034204	10005708	370807	28147
0_1k	0 - 1k	KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	143	1	27799999	2709999	9850	300
