advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
USR Caraș-Severin	Uniunea Salvați România	1556903897946498	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	8	1	319992	97000	670	126
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	34	1	167249	74777	229	47
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	18	1	150937	70879	353	148
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	40	1	113685	50999	311	72
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	12	1	101218	48978	205	42
European Parliament	European Parliament	178362315106	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	15	1	94864	43945	257	59
Parlamentul European, Biroul de Informare în Romania	Parlamentul European, Biroul de Informare în Romania	138896782840976	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	15	1	93407	42937	119	27
European Commission	European Commission	107898832590939	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	27	1	92458	42911	222	63
Claudiu Manda	Partidul Social Democrat	199635566715473	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	2	1	77354	30941	162	32
Cristian Bușoi	Rus Alexandra	112332998808842	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	26	1	59443	26072	80	23
Reper24h	Reper24h	271881082995170	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	1	1	49999	10000	104	21
Partidul Mișcarea Populară	Amerisoft	581911828514783	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	15	1	39708	17028	49	13
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	5	1	39620	16157	16	8
Răcnetul Oamenilor Sătui	IOANITA MARIN-IOANA	165452684079944	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	8	1	38563	17434	37	8
PLUS	PLUS	1903580739951981	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	4	1	34293	16088	49	11
Norica Nicolai	Increase Digital	121265151226126	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	16	1	33521	10838	66	12
PRO România	Networld IT&C SRL	2177244962290894	Facebook	caras_severin_county_RO	Caraș-Severin County, Romania	20	1	27330	8227	58	14
