advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Valdis Dombrovskis	Valdis Dombrovskis	984665731564266	Facebook	0_50	0 - 50	LV	Latvia	139	1	1987484	445758	13441	0
Jaunā Vienotība	Partiju apvienība “Jaunā Vienotība”	164326166970895	Facebook	0_50	0 - 50	LV	Latvia	26	1	1008746	329954	2565	0
Roberts Zīle		508959865842254	Facebook	0_50	0 - 50	LV	Latvia	12	1	699791	229278	1184	0
Aleksejs Loskutovs		541229793055345	Facebook	0_50	0 - 50	LV	Latvia	25	1	544674	123692	2389	0
Inese Ikstena Eiropas Parlamenta deputāta kandidāte		2214339072152669	Facebook	0_50	0 - 50	LV	Latvia	17	1	489242	100643	1673	0
PROGRESĪVIE		184096511636333	Facebook	0_50	0 - 50	LV	Latvia	11	1	473736	187079	1081	0
Eiropas Parlaments Latvijā	Eiropas Parlaments Latvijā	380325297593	Facebook	0_50	0 - 50	LV	Latvia	23	1	464525	154516	2269	0
Ansis Pūpols	Ansis Pūpols	534110743707105	Facebook	0_50	0 - 50	LV	Latvia	9	1	359867	74766	888	0
European Parliament		178362315106	Facebook	0_50	0 - 50	LV	Latvia	14	1	322385	96773	1087	0
Mamikins.lv	Andrejs Mamikins	587293021433280	Facebook	0_50	0 - 50	LV	Latvia	6	1	299060	59813	592	0
Jaunā konservatīvā partija	Jaunā konservatīvā partija	595950207185585	Facebook	0_50	0 - 50	LV	Latvia	7	1	264168	55825	690	0
Ijabs Ivars		345347539390006	Facebook	0_50	0 - 50	LV	Latvia	5	1	229086	45818	453	0
Jānis Grasbergs	Jānis Grasbergs	329580341010027	Facebook	0_50	0 - 50	LV	Latvia	5	1	219310	79750	493	0
Krišjānis Feldmans	Jaunā konservatīvā partija	731540813660862	Facebook	0_50	0 - 50	LV	Latvia	4	1	154499	30900	394	0
Attīstībai / Par	partiju apvienība "Attīstībai/Par!"	634097313600056	Facebook	0_50	0 - 50	LV	Latvia	6	1	152517	29906	592	0
Inese Vaidere	Vaidere Inese	779811265442970	Facebook	0_50	0 - 50	LV	Latvia	3	1	109654	24922	296	0
Eiropas Savienības māja	Eiropas Savienības māja	169709889752394	Facebook	0_50	0 - 50	LV	Latvia	1	1	99687	49844	98	0
LViedvesmo		1948718882070549	Facebook	0_50	0 - 50	LV	Latvia	2	1	99686	19937	197	0
Rihards Kols	Rihards Kols	960297957323800	Facebook	0_50	0 - 50	LV	Latvia	5	1	84730	25919	493	0
Швеция		1001119573268082	Facebook	0_50	0 - 50	LV	Latvia	2	1	83511	40860	36	7
Kaspars Ģirģens “KPV LV”	Ģirģens Kaspars	773797506103713	Facebook	0_50	0 - 50	LV	Latvia	5	1	75758	20934	493	0
Eiropas Komisijas pārstāvniecība Latvijā	Eiropas Komisijas pārstāvniecība Latvijā	185497885323119	Facebook	0_50	0 - 50	LV	Latvia	4	1	61803	14953	394	0
Dmitrijs Golubevs	Dmitrijs Golubevs	603479506715383	Facebook	0_50	0 - 50	LV	Latvia	3	1	59810	11962	296	0
Armands Krauze		1404923176410685	Facebook	0_50	0 - 50	LV	Latvia	3	1	57729	11546	254	0
Māris Graudiņš		265541270533404	Facebook	0_50	0 - 50	LV	Latvia	3	1	55811	10963	296	0
