country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
DE	Germany	m25_34	male (25-34)	28576	3980	64692738	21193716	663653	69582
DE	Germany	m18_24	male (18-24)	27272	3691	56342942	17725889	604704	48192
DE	Germany	f18_24	female (18-24)	27616	3724	50056355	15428393	522833	38771
DE	Germany	f25_34	female (25-34)	28951	4046	44011209	13979593	436371	41126
DE	Germany	m35_44	male (35-44)	27138	3904	36606170	11884237	384564	40115
DE	Germany	m45_54	male (45-54)	26308	3742	31951807	10032604	388845	40603
DE	Germany	f35_44	female (35-44)	27552	3968	26036239	8227081	271626	25464
DE	Germany	f45_54	female (45-54)	26537	3785	22480188	6864242	274452	23733
DE	Germany	m55_64	male (55-64)	24620	3509	19809982	5955270	280990	24496
DE	Germany	f55_64	female (55-64)	24830	3548	16415658	4785925	242056	17298
DE	Germany	m65_	male (65+)	22637	3158	11103143	3280678	173655	13696
DE	Germany	f65_	female (65+)	22697	3190	9011133	2549859	152265	9529
DE	Germany	f13_17	female (13-17)	3756	1099	4754409	1609043	33725	1739
DE	Germany	m13_17	male (13-17)	3949	1084	4425632	1518487	34488	1718
DE	Germany	u25_34	unknown (25-34)	14673	3077	515537	168757	5383	582
DE	Germany	u35_44	unknown (35-44)	14131	3096	443620	145100	4651	536
DE	Germany	u45_54	unknown (45-54)	12194	2816	232871	73633	2862	317
DE	Germany	u18_24	unknown (18-24)	10535	2365	179085	57320	1889	167
DE	Germany	u65_	unknown (65+)	8641	2175	126374	39141	1659	152
DE	Germany	u55_64	unknown (55-64)	8655	2274	103786	32040	1424	145
DE	Germany	u13_17	unknown (13-17)	1542	608	19007	6512	151	8
