advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Alfred Sant	Alfred Sant	537789116260209	Facebook	d025	2019-01-25	MT	Malta	1	1	33332	16666	166	33
Josef Caruana		166617437361908	Facebook	d025	2019-01-25	MT	Malta	2	1	7993	2633	26	3
Frank Psaila		458318884361628	Facebook	d025	2019-01-25	MT	Malta	1	1	7141	1428	12	0
Roberta Metsola		406824526101449	Facebook	d025	2019-01-25	MT	Malta	2	1	4999	1000	99	0
PD Martin Cauchi Inglott		181379916072401	Facebook	d025	2019-01-25	MT	Malta	1	1	3333	1666	33	0
Lorna Vassallo	Lorna Vassallo	690417757823946	Facebook	d025	2019-01-25	MT	Malta	1	1	537	107	1	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d025	2019-01-25	MT	Malta	2	1	136	63	0	0
Acacia Car Rentals		198061050534528	Facebook	d025	2019-01-25	MT	Malta	2	1	84	16	0	0
FT Transact		643057169228509	Facebook	d025	2019-01-25	MT	Malta	1	1	52	26	0	0
TENCEL		164249401288	Facebook	d025	2019-01-25	MT	Malta	1	1	42	17	0	0
Financial Times		8860325749	Facebook	d025	2019-01-25	MT	Malta	2	1	16	3	0	0
EIT InnoEnergy		344038838945608	Facebook	d025	2019-01-25	MT	Malta	4	1	13	5	0	0
Orbex		1415953441956155	Facebook	d025	2019-01-25	MT	Malta	1	1	12	2	0	0
FT Content Solutions		1220981994590364	Facebook	d025	2019-01-25	MT	Malta	2	1	7	1	0	0
Soviet Visuals		1160495674016675	Facebook	d025	2019-01-25	MT	Malta	5	1	7	1	0	0
Andrew Zbik - Lane Cove - Labor		1599877663573922	Facebook	d025	2019-01-25	MT	Malta	2	1	7	0	0	0
Le Monde		14892757589	Facebook	d025	2019-01-25	MT	Malta	5	1	7	2	0	0
Milaap		315603771494	Facebook	d025	2019-01-25	MT	Malta	1	1	6	1	0	0
Radware		173342156042274	Facebook	d025	2019-01-25	MT	Malta	1	1	6	1	0	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	d025	2019-01-25	MT	Malta	4	1	5	0	0	0
Wedonthavetime.org		1374925102519271	Facebook	d025	2019-01-25	MT	Malta	1	1	3	1	0	0
Banque mondiale		155174084508744	Facebook	d025	2019-01-25	MT	Malta	6	1	2	0	0	0
OBV		78976852029	Facebook	d025	2019-01-25	MT	Malta	1	1	2	0	0	0
YOGA BURN		146316959083110	Facebook	d025	2019-01-25	MT	Malta	2	1	1	0	0	0
OZY		1393911800825140	Facebook	d025	2019-01-25	MT	Malta	1	1	1	0	0	0
Andreas Schieder	SPÖ	290881691011354	Facebook	d025	2019-01-25	MT	Malta	2	1	0	0	0	0
THTC - The Hemp Trading Company		30239959348	Facebook	d025	2019-01-25	MT	Malta	2	1	0	0	0	0
