week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-15	BE	Belgium	3526	391	49726909	18437953	335801	55455
w019	Week 19	2019-05-06	2019-05-12	BE	Belgium	4002	477	90164192	34370927	613634	114609
w018	Week 18	2019-04-29	2019-05-05	BE	Belgium	3163	480	65607948	26407126	468278	91594
w017	Week 17	2019-04-22	2019-04-28	BE	Belgium	2753	498	43170041	16740525	308331	56050
w016	Week 16	2019-04-15	2019-04-21	BE	Belgium	2523	553	29314207	11107992	211819	34662
w015	Week 15	2019-04-08	2019-04-14	BE	Belgium	2295	705	20939048	7732296	137997	21693
w014	Week 14	2019-04-01	2019-04-07	BE	Belgium	1836	692	13265289	4759120	93156	12362
w013	Week 13	2019-03-25	2019-03-31	BE	Belgium	1408	548	10334980	3738567	64555	10237
w012	Week 12	2019-03-18	2019-03-24	BE	Belgium	1246	488	11833639	4623377	74810	12598
w011	Week 11	2019-03-11	2019-03-17	BE	Belgium	808	359	6099373	2242924	44518	7525
w010	Week 10	2019-03-04	2019-03-10	BE	Belgium	645	266	10223802	4006178	80034	14749
w009	Week 9	2019-02-25	2019-03-03	BE	Belgium	294	140	1184539	387193	10996	2025
w008	Week 8	2019-02-18	2019-02-24	BE	Belgium	234	109	1291728	434458	9688	1513
w007	Week 7	2019-02-11	2019-02-17	BE	Belgium	157	85	1385818	576182	5782	811
w006	Week 6	2019-02-04	2019-02-10	BE	Belgium	159	77	1654153	645548	11854	2241
w005	Week 5	2019-01-28	2019-02-03	BE	Belgium	166	61	819422	331591	8225	1409
w004	Week 4	2019-01-21	2019-01-27	BE	Belgium	154	57	715577	241101	6250	1297
w003	Week 3	2019-01-14	2019-01-20	BE	Belgium	134	48	668758	286160	4395	1749
w002	Week 2	2019-01-07	2019-01-13	BE	Belgium	115	42	467929	155190	2336	329
w001	Week 1	2019-01-01	2019-01-06	BE	Belgium	91	34	1424840	697670	7737	1681
