advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Greenpeace France		39435457457	Facebook	m45_54	male (45-54)	FR	France	119	1	1162498	517211	5566	1276
European Parliament		178362315106	Facebook	m45_54	male (45-54)	FR	France	49	1	740459	339243	4841	1019
La Prime Énergie		336155273400553	Facebook	m45_54	male (45-54)	FR	France	27	1	468417	186860	4182	935
Primes écologique		152399322377561	Facebook	m45_54	male (45-54)	FR	France	19	1	443045	184156	5269	1145
Agence Isolation Pour Tous		568528630290119	Facebook	m45_54	male (45-54)	FR	France	24	1	376577	155423	4679	1057
Les Energies du Soleil		1684031805239401	Facebook	m45_54	male (45-54)	FR	France	7	1	330463	152057	4325	1341
Médecins du Monde France		265420476920	Facebook	m45_54	male (45-54)	FR	France	727	1	290153	95199	5210	323
Aides énergétiques pour tous		789578834730248	Facebook	m45_54	male (45-54)	FR	France	16	1	266929	108641	3102	684
Le HCR, l'Agence des Nations Unies pour les Réfugiés		112542522148670	Facebook	m45_54	male (45-54)	FR	France	58	1	262963	109908	1063	238
Route Auto		252868201731333	Facebook	m45_54	male (45-54)	FR	France	5	1	256239	110870	1522	298
2 Min Ecologie		433170297221149	Facebook	m45_54	male (45-54)	FR	France	68	1	245272	83190	2736	493
Kialo		729627343834501	Facebook	m45_54	male (45-54)	FR	France	348	1	229903	93151	1552	382
Pompes à Chaleur		464568377211278	Facebook	m45_54	male (45-54)	FR	France	40	1	220404	87040	2653	542
Mes économies d'énergie		124948231440251	Facebook	m45_54	male (45-54)	FR	France	11	1	191016	73867	2067	411
Ministère de l'Intérieur		103146727990	Facebook	m45_54	male (45-54)	FR	France	14	1	172798	70145	1004	262
Mon Energie Verte		252140872017180	Facebook	m45_54	male (45-54)	FR	France	65	1	167791	57975	2243	437
Economiser Energie		286272318578056	Facebook	m45_54	male (45-54)	FR	France	11	1	164843	64400	1978	385
Unis pour les Droits Humains		1642871805813802	Facebook	m45_54	male (45-54)	FR	France	20	1	162315	64766	118	0
Simulation Energétique		562488297524492	Facebook	m45_54	male (45-54)	FR	France	20	1	158177	60322	1870	504
Stop Impôt		1538720933075616	Facebook	m45_54	male (45-54)	FR	France	9	1	157130	57940	1012	269
Lidimo		2217464665186092	Facebook	m45_54	male (45-54)	FR	France	5	1	146358	56433	1482	346
UNICEF France		173159234432	Facebook	m45_54	male (45-54)	FR	France	38	1	132372	53219	642	178
FHE Group		1241383025915322	Facebook	m45_54	male (45-54)	FR	France	1	1	131614	65807	657	131
Les Antagonistes		398415124026017	Facebook	m45_54	male (45-54)	FR	France	2	1	131243	65526	1315	654
Paris Première		140770432659757	Facebook	m45_54	male (45-54)	FR	France	3	1	127830	63915	505	99
