advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
The Brexit Party	The Brexit Party	230416667843105	Facebook	d130	2019-05-10	UK	United Kingdom	12	1	1262762	612386	23448	6392
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	d130	2019-05-10	UK	United Kingdom	696	1	1196698	378024	15906	2282
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	d130	2019-05-10	UK	United Kingdom	167	1	474839	173828	10082	1044
The Labour Party	The Labour Party	25749647410	Facebook	d130	2019-05-10	UK	United Kingdom	3	1	349999	164999	2603	520
Greenpeace UK	Greenpeace UK 	9250349228	Facebook	d130	2019-05-10	UK	United Kingdom	56	1	262502	105423	1825	437
38 Degrees	38 Degrees	200006375787	Facebook	d130	2019-05-10	UK	United Kingdom	34	1	218878	57454	1723	261
School Cuts	National Education Union	871798409656672	Facebook	d130	2019-05-10	UK	United Kingdom	19	1	154245	32916	1526	266
Global Justice Now	Global Justice Now	6707857033	Facebook	d130	2019-05-10	UK	United Kingdom	142	1	108068	22100	3631	0
WWF UK		311627208673	Facebook	d130	2019-05-10	UK	United Kingdom	8	1	103845	44615	417	160
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	d130	2019-05-10	UK	United Kingdom	88	1	69903	15336	1152	82
Yorkshire and the Humber Labour Party	the Labour Party	1608245282744484	Facebook	d130	2019-05-10	UK	United Kingdom	2	1	68571	34285	1983	396
Jeremy Corbyn	The Labour Party	330250343871	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	66666	33333	385	192
Welsh Labour	Welsh Labour	159670677391384	Facebook	d130	2019-05-10	UK	United Kingdom	3	1	63809	29761	1269	250
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	62499	25000	72	14
Scottish Labour Party	Scottish Labour	310039442421596	Facebook	d130	2019-05-10	UK	United Kingdom	3	1	58888	27777	1143	228
HOPE not hate	HOPE not hate	91897231853	Facebook	d130	2019-05-10	UK	United Kingdom	6	1	54331	20666	575	77
Labour North	Labour North, Promoted by Fiona Stanton on behalf of Labour North	685018844928882	Facebook	d130	2019-05-10	UK	United Kingdom	4	1	49999	22857	1239	347
Andy Street	The Conservative Party	625464517632792	Facebook	d130	2019-05-10	UK	United Kingdom	44	1	47956	1000	5040	0
TheArticle	TheArticle	607840469632004	Facebook	d130	2019-05-10	UK	United Kingdom	2	1	45545	18181	115	52
Labour North West	the Labour Party	61950489543	Facebook	d130	2019-05-10	UK	United Kingdom	2	1	41666	18333	481	212
WWF Scotland	WWF Scotland	143664152344192	Facebook	d130	2019-05-10	UK	United Kingdom	2	1	40229	20114	212	42
People's Vote UK	People's Vote	748608695327755	Facebook	d130	2019-05-10	UK	United Kingdom	17	1	38992	10666	840	0
Alex Salmond	Slainte Media	136191876445102	Facebook	d130	2019-05-10	UK	United Kingdom	4	1	37748	7499	345	57
Bournemouth Green Party	South East Dorset Green Party	140064492697345	Facebook	d130	2019-05-10	UK	United Kingdom	9	1	35121	7761	341	28
City Index		212613938870867	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	33333	16666	192	38
