advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
ΑΚΕΛ - AKEL	ΑΚΕΛ - AKEL	117799504920552	Facebook	m	male	CY	Cyprus	97	1	1756327	526491	7051	192
European Parliament		178362315106	Facebook	m	male	CY	Cyprus	19	1	1503816	675354	8525	2272
Στηρίζουμε Μαρίνο Κλεάνθους για την Ευρωβουλή		831939610501208	Facebook	m	male	CY	Cyprus	30	1	967475	341579	3171	355
Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ	EDEK	489124984493054	Facebook	m	male	CY	Cyprus	78	1	944856	208268	4272	0
European Parliament Office in Cyprus		205478755729	Facebook	m	male	CY	Cyprus	9	1	823178	356954	3859	714
Prof. Dr. Niyazi Kızılyürek	Niyazi Kızılyürek	878208312216203	Facebook	m	male	CY	Cyprus	26	1	748734	280941	2561	195
Costas Mavrides - Κώστας Μαυρίδης	Costas Mavrides - Κώστας Μαυρίδης	197874087030899	Facebook	m	male	CY	Cyprus	29	1	637995	151412	2087	89
Λευτέρης Χριστοφόρου - Lefteris Christoforou		832972046731724	Facebook	m	male	CY	Cyprus	48	1	614678	135004	3007	0
Nicos Tornaritis - Νίκος Τορναρίτης	Nicos Tornaritis - Νίκος Τορναρίτης	115653995162093	Facebook	m	male	CY	Cyprus	22	1	579777	135513	1272	0
Νικόλας Παπαδόπουλος	Μανωλης Κυριακου	998046016880140	Facebook	m	male	CY	Cyprus	36	1	484704	115245	2314	0
Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS		46620712083	Facebook	m	male	CY	Cyprus	28	1	441425	94388	1921	0
Δημοκρατικό Κόμμα	Constantinos Georgallides	293704380825571	Facebook	m	male	CY	Cyprus	50	1	426659	119443	3334	0
Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou		270213387069072	Facebook	m	male	CY	Cyprus	21	1	413831	90264	1293	0
Κόμμα Δικαιοσύνης - ΟΑΔ	Michael Minas	404386316397983	Facebook	m	male	CY	Cyprus	11	1	401134	151263	844	0
Παναγιώτης Σεντώνας - Panayiotis Sentonas		436419753766608	Facebook	m	male	CY	Cyprus	18	1	362266	80580	1222	0
AKEL Türkçe	ΑΚΕΛ - AKEL	811609932267686	Facebook	m	male	CY	Cyprus	6	1	305947	140096	938	131
Δημήτρης Παπαδάκης	Δημήτρης Παπαδάκης - Demetris Papadakis	1406872809567447	Facebook	m	male	CY	Cyprus	13	1	278885	60388	850	0
γυρίζουμε		278308089460720	Facebook	m	male	CY	Cyprus	6	1	254493	112066	1723	395
UK-Cyprus Enterprise Council	UK-Cyprus Enterprise Council 	1837120569879342	Facebook	m	male	CY	Cyprus	7	1	252518	109203	461	26
Δημοκρατικός Συναγερμός	Δημοκρατικός Συναγερμός	64330641883	Facebook	m	male	CY	Cyprus	17	1	243943	65754	978	0
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	m	male	CY	Cyprus	5	1	182230	78029	1359	263
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	m	male	CY	Cyprus	27	1	181385	73870	330	82
Marinos Mousiouttas	Andreas Nikitaras	306684270037168	Facebook	m	male	CY	Cyprus	21	1	177438	38225	1286	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	m	male	CY	Cyprus	41	1	160009	73091	252	60
Power Beach		484571345318227	Facebook	m	male	CY	Cyprus	1	1	152809	76405	75	0
