advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Lietuvos socialdemokratų partija - LSDP	Lietuvos socialdemokratų partija - LSDP	202360056491831	Facebook	rd4	Last 4 days	LT	Lithuania	42	1	1715042	745944	2771	451
Gitanas Nausėda	Gitanas Nausėda	684534791927883	Facebook	rd4	Last 4 days	LT	Lithuania	36	1	1283553	502351	3956	330
European Parliament		178362315106	Facebook	rd4	Last 4 days	LT	Lithuania	17	1	753658	320061	2592	774
Lietuvos valstiečių ir žaliųjų sąjunga	Lietuvos valstiečių ir žaliųjų sąjunga	190209177745566	Facebook	rd4	Last 4 days	LT	Lithuania	19	1	683014	219060	1657	18
Darbo partija	Darbo partija	264116120225	Facebook	rd4	Last 4 days	LT	Lithuania	17	1	673485	232899	2340	234
Antanas Guoga	Lietuvos Centro Partijos rinkimų sąskaita	18276748821	Facebook	rd4	Last 4 days	LT	Lithuania	8	1	511991	224999	2091	599
Liberalai	Liberalai	81004804444	Facebook	rd4	Last 4 days	LT	Lithuania	81	1	323559	88999	4339	80
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rd4	Last 4 days	LT	Lithuania	27	1	270191	65517	856	2
Karolina Štelmokaitė	LVŽS	763068560724258	Facebook	rd4	Last 4 days	LT	Lithuania	8	1	198493	39499	668	0
Viktoras Uspaskich	Darbo partija	160851767470	Facebook	rd4	Last 4 days	LT	Lithuania	8	1	174608	34923	784	0
Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD)	TS-LKD	198988713464683	Facebook	rd4	Last 4 days	LT	Lithuania	11	1	153989	29999	1049	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	rd4	Last 4 days	LT	Lithuania	8	1	81296	30907	179	14
European Greens		141366725876424	Facebook	rd4	Last 4 days	LT	Lithuania	8	1	73020	29447	259	64
Laima Mogenienė	LVŽS partija (EP rinkimų sąskaita)	334338600540343	Facebook	rd4	Last 4 days	LT	Lithuania	24	1	72415	15613	1268	0
Mindaugas Puidokas	Puidokas Mindaugas	1739968129576961	Facebook	rd4	Last 4 days	LT	Lithuania	4	1	68330	13666	313	0
Už Ingridą		2214495192154107	Facebook	rd4	Last 4 days	LT	Lithuania	9	1	64173	18636	828	0
Dovilas Petkus	Katelynas Martynas	666697733748899	Facebook	rd4	Last 4 days	LT	Lithuania	2	1	51665	10333	132	0
Europos Parlamento biuras Lietuvoje	Europos Parlamento biuras Lietuvoje	188014250186	Facebook	rd4	Last 4 days	LT	Lithuania	2	1	44998	9000	178	0
Tatjana Babrauskienė	Babrauskiene Tatjana	1101509610035530	Facebook	rd4	Last 4 days	LT	Lithuania	4	1	32218	6244	321	0
VoteWatch Europe		355087424564148	Facebook	rd4	Last 4 days	LT	Lithuania	7	1	5315	2308	10	2
Dvi Tylos		1652505418335722	Facebook	rd4	Last 4 days	LT	Lithuania	2	1	1998	0	198	0
Robertas Šarknickas	LVŽS	880209082011396	Facebook	rd4	Last 4 days	LT	Lithuania	2	1	1995	0	197	0
Greens/EFA in the European Parliament		150527751674751	Facebook	rd4	Last 4 days	LT	Lithuania	3	1	1730	346	10	1
Investors' Forum		1330823023658838	Facebook	rd4	Last 4 days	LT	Lithuania	2	1	1666	333	29	0
ALDE Group – Liberals and Democrats in the European Parliament	ALDE Group in the European Parliament. 	123910440019	Facebook	rd4	Last 4 days	LT	Lithuania	3	1	1077	274	2	0
