advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Lietuvos socialdemokratų partija - LSDP	Lietuvos socialdemokratų partija - LSDP	202360056491831	Facebook	rd1	Yesterday	LT	Lithuania	42	1	428760	186486	692	112
European Parliament		178362315106	Facebook	rd1	Yesterday	LT	Lithuania	16	1	371848	158081	1284	382
Gitanas Nausėda	Gitanas Nausėda	684534791927883	Facebook	rd1	Yesterday	LT	Lithuania	23	1	233807	100171	700	82
Lietuvos valstiečių ir žaliųjų sąjunga	Lietuvos valstiečių ir žaliųjų sąjunga	190209177745566	Facebook	rd1	Yesterday	LT	Lithuania	16	1	168707	53742	416	0
Darbo partija	Darbo partija	264116120225	Facebook	rd1	Yesterday	LT	Lithuania	16	1	160496	56599	541	39
Antanas Guoga	Lietuvos Centro Partijos rinkimų sąskaita	18276748821	Facebook	rd1	Yesterday	LT	Lithuania	8	1	152997	68749	614	191
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rd1	Yesterday	LT	Lithuania	18	1	94555	22107	311	0
Liberalai	Liberalai	81004804444	Facebook	rd1	Yesterday	LT	Lithuania	81	1	84472	23166	1167	20
Viktoras Uspaskich	Darbo partija	160851767470	Facebook	rd1	Yesterday	LT	Lithuania	8	1	58202	11641	261	0
Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD)	TS-LKD	198988713464683	Facebook	rd1	Yesterday	LT	Lithuania	11	1	46579	8916	427	0
Karolina Štelmokaitė	LVŽS	763068560724258	Facebook	rd1	Yesterday	LT	Lithuania	5	1	40998	8199	143	0
Už Ingridą		2214495192154107	Facebook	rd1	Yesterday	LT	Lithuania	9	1	22542	6659	330	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	rd1	Yesterday	LT	Lithuania	5	1	20938	7853	68	3
Laima Mogenienė	LVŽS partija (EP rinkimų sąskaita)	334338600540343	Facebook	rd1	Yesterday	LT	Lithuania	16	1	19632	4034	349	0
European Greens		141366725876424	Facebook	rd1	Yesterday	LT	Lithuania	5	1	17687	7142	61	15
Dovilas Petkus	Katelynas Martynas	666697733748899	Facebook	rd1	Yesterday	LT	Lithuania	1	1	12499	2500	24	0
Europos Parlamento biuras Lietuvoje	Europos Parlamento biuras Lietuvoje	188014250186	Facebook	rd1	Yesterday	LT	Lithuania	1	1	9999	2000	19	0
Tatjana Babrauskienė	Babrauskiene Tatjana	1101509610035530	Facebook	rd1	Yesterday	LT	Lithuania	4	1	9554	1811	129	0
Mindaugas Puidokas	Puidokas Mindaugas	1739968129576961	Facebook	rd1	Yesterday	LT	Lithuania	2	1	3332	666	65	0
VoteWatch Europe		355087424564148	Facebook	rd1	Yesterday	LT	Lithuania	7	1	1328	577	2	0
Robertas Šarknickas	LVŽS	880209082011396	Facebook	rd1	Yesterday	LT	Lithuania	2	1	997	0	98	0
Dvi Tylos		1652505418335722	Facebook	rd1	Yesterday	LT	Lithuania	2	1	666	0	66	0
Greens/EFA in the European Parliament		150527751674751	Facebook	rd1	Yesterday	LT	Lithuania	3	1	502	100	2	0
Talking Europe		316028505828375	Facebook	rd1	Yesterday	LT	Lithuania	2	1	268	127	1	0
ALDE Group – Liberals and Democrats in the European Parliament	ALDE Group in the European Parliament. 	123910440019	Facebook	rd1	Yesterday	LT	Lithuania	2	1	259	51	0	0
