advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Anti Poolamets - EKRE kandidaat Europarlamenti	Anti Poolamets	1532805486974348	Facebook	viljandi_county_EE	Viljandi County, Estonia	84	1	78000	19208	656	4
Sotsiaaldemokraatlik Erakond	Sotsiaaldemokraatlik Erakond	123310201026539	Facebook	viljandi_county_EE	Viljandi County, Estonia	30	1	75498	27257	251	37
Igor Gräzin	Igor Gräzin	339367456669277	Facebook	viljandi_county_EE	Viljandi County, Estonia	28	1	67164	28185	229	33
Yoko Alender		709212302463805	Facebook	viljandi_county_EE	Viljandi County, Estonia	30	1	66264	19119	1491	0
European Parliament		178362315106	Facebook	viljandi_county_EE	Viljandi County, Estonia	22	1	60980	25473	591	147
Inimõiguste Instituut / Estonian Institute of Human Rights		144333745668266	Facebook	viljandi_county_EE	Viljandi County, Estonia	6	1	59298	27831	77	26
Isamaa erakond	Isamaa erakond	321163977576	Facebook	viljandi_county_EE	Viljandi County, Estonia	10	1	55622	23672	212	64
Taavi Rõivas	Roivas Taavi	1033457073332454	Facebook	viljandi_county_EE	Viljandi County, Estonia	21	1	53117	14978	200	14
Urmas Paet	Paet Urmas	223092011815453	Facebook	viljandi_county_EE	Viljandi County, Estonia	27	1	28054	6256	105	2
Raimond Kaljulaid	Raimond Kaljulaid	1084372461606422	Facebook	viljandi_county_EE	Viljandi County, Estonia	28	1	17381	4348	185	21
Veriff		959442754113350	Facebook	viljandi_county_EE	Viljandi County, Estonia	3	1	17366	7504	29	5
Jaak Madison	Madison Jaak	536519246456733	Facebook	viljandi_county_EE	Viljandi County, Estonia	10	1	11459	2470	74	9
Keskerakond	Keskerakond	161252453921396	Facebook	viljandi_county_EE	Viljandi County, Estonia	10	1	10045	2438	54	0
Triin Saag	Saag Triin	2012394932389774	Facebook	viljandi_county_EE	Viljandi County, Estonia	22	1	8473	2284	91	0
European Greens	European Greens	141366725876424	Facebook	viljandi_county_EE	Viljandi County, Estonia	9	1	7598	2888	28	4
Riho Terras		2217643278496367	Facebook	viljandi_county_EE	Viljandi County, Estonia	3	1	7382	1618	57	9
Toitumisnõustaja Erik Orgu		592673214085550	Facebook	viljandi_county_EE	Viljandi County, Estonia	6	1	6346	2546	29	4
Kialo		729627343834501	Facebook	viljandi_county_EE	Viljandi County, Estonia	221	1	6060	2331	38	9
Rimi Eesti		217485440760	Facebook	viljandi_county_EE	Viljandi County, Estonia	1	1	4703	2351	23	4
Ablo		299078570887332	Facebook	viljandi_county_EE	Viljandi County, Estonia	8	1	3052	593	28	0
Keskkonnaministeerium		274848805895621	Facebook	viljandi_county_EE	Viljandi County, Estonia	1	1	2761	552	5	0
Maria Kaljuste - Maria from Estonia		1587214418196564	Facebook	viljandi_county_EE	Viljandi County, Estonia	1	1	2457	491	4	0
Noored Otsustajad	Eesti Noorteühenduste Liit (ENL)	205597239493153	Facebook	viljandi_county_EE	Viljandi County, Estonia	2	1	2250	567	7	0
Airis Meier Page	Reformierakond	250646808998831	Facebook	viljandi_county_EE	Viljandi County, Estonia	1	1	2127	425	4	0
Eiki Nestor	Sotsiaaldemokraatlik Erakond	1472281069715651	Facebook	viljandi_county_EE	Viljandi County, Estonia	7	1	2110	400	24	0
