advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Future Innovation SRL		AR474748779908562944	Google	52	1	417130000	41710000	789400	13900
AMERISOFT SRL		AR573801583431647232	Google	218	1	249140000	24860000	23950	1450
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	251	1	193400000	19230000	1157600	22600
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	42	1	141810000	14180000	729050	41900
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	107	1	128420000	12780000	650500	12300
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	104	1	109940000	10950000	256950	5350
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	175	1	97960000	9710000	385250	7900
Freiheitliche Partei Österreich		AR333020356698701824	Google	62	1	80630000	8030000	548550	38700
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	99	1	76950000	7630000	824000	43650
CDU Christlich Demokratische Union		AR68737343799951360	Google	4980	1	75810000	2890000	562650	34850
COALICION CANARIA		AR489541609348661248	Google	4763	1	67340000	2080000	274400	1200
SOCIALDEMOKRATIET		AR271193993235136512	Google	130	1	59800000	5940000	1314600	23750
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	910	1	51670000	4470000	60800	1700
HEADS, s.r.o.		AR356967719951663104	Google	31	1	43330000	4330000	96350	2050
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	176	1	42620000	4230000	8800	0
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	2010	1	41790000	2270000	106350	650
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	146	1	39620000	3890000	12700	600
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	342	1	38250000	3610000	62350	2200
KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	31	1	37750000	3770000	5600	450
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	200	1	35660000	3430000	14050	450
Det Konservative Folkeparti		AR40969452518375424	Google	281	1	34400000	3180000	263550	5100
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	10	1	33220000	3320000	181100	3100
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	206	1	32210000	3090000	600500	11850
Partido Popular Regional De Canarias		AR288284801977286656	Google	148	1	25600000	2490000	14600	800
Partido Animalista PACMA		AR145115193901318144	Google	13	1	25420000	2540000	122250	2200
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	118	1	25120000	2440000	9050	350
Občanska demokraticka strana		AR386241117529571328	Google	64	1	24850000	2430000	65350	1250
mmb media agentur d.o.o.		AR524572049809604608	Google	1441	1	24220000	1040000	72050	0
Párbeszéd Magyarországért		AR567356246269624320	Google	17	1	23390000	2330000	62100	1150
Open Vld		AR369049153717665792	Google	396	1	23310000	2020000	100850	3350
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	110	1	23150000	2300000	237650	6000
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	28	1	22060000	2200000	2750	150
Sotsiaaldemokraatlik Erakond		AR61981944358895616	Google	13	1	21100000	2110000	95000	2000
Alternativet		AR198061076825243648	Google	15	1	20220000	2020000	153650	2850
Suomen Keskusta r.p.		AR441112520191639552	Google	34	1	20050000	1990000	305250	5450
Slovenska demokratska stranka		AR170068335415787520	Google	44	1	18710000	1860000	3100	100
Sloboda a Solidarita		AR242125929453715456	Google	212	1	17690000	1610000	18250	850
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	46	1	17020000	1690000	9950	850
HLAS		AR312619193323225088	Google	882	1	16740000	860000	54000	1100
NEA DEMOKRATIA		AR351183464155840512	Google	8	1	14210000	1420000	62100	1200
CDU	CDU	78502295414	Facebook	4999	1	13337001	2325000	494901	0
CDA Doetinchem		AR453512812329697280	Google	52	1	13210000	1300000	3950	150
Mediabrands Digital OÜ		AR530356305605427200	Google	340	1	13120000	1070000	17450	50
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	4	1	12100000	1210000	61000	1100
Partido Socialista Obrero Español de Castilla y León		AR476313110076981248	Google	9	1	11160000	1110000	1350	100
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	56	1	11090000	1080000	10450	850
Liberal Alliance		AR183859784640888832	Google	164	1	10550000	940000	212650	5750
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	80	1	10520000	990000	345600	6850
SPD		AR456734381399080960	Google	32	1	10310000	1020000	574750	38950
Arnora Oy		AR181544213152792576	Google	1	1	10000000	1000000	500	50
Nye Borgerlige		AR447862147196649472	Google	1	1	10000000	1000000	500	50
Cink, s.r.o.		AR361287976015101952	Google	39	1	9840000	970000	5550	400
Venstres Landsorganisation		AR283015942256984064	Google	81	1	9000000	850000	433250	8100
Socialdemokratiet i Region Midtjylland		AR258908874940088320	Google	62	1	8990000	860000	38450	1100
UAB "BPN LT"		AR135010682042056704	Google	34	1	8800000	880000	4400	300
European Parliament	European Parliament	178362315106	Facebook	39	1	8719961	3797000	49261	14400
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	79	1	8350000	780000	9350	600
Fondation Populaire		AR320938922932699136	Google	24	1	7350000	730000	67850	1750
Pametno		AR222880077921124352	Google	42	1	7080000	690000	2100	0
SPOLU - občianska demokracia		AR194838133366325248	Google	62	1	6830000	630000	65700	1300
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	276	1	6180000	350000	74150	1050
OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO)		AR392996516970627072	Google	8	1	6110000	610000	92050	1700
Gouvernement	Gouvernement	392341217527576	Facebook	30	1	5509970	2225000	9570	2200
Progresívne Slovensko		AR114793686864232448	Google	25	1	5380000	530000	3950	300
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	21	1	5115979	2325000	16523	4860
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	37	1	5050000	480000	128400	2750
Strana nezávislosti České republiky		AR465054111008555008	Google	15	1	4830000	480000	1200	50
Bündnis90/ Die Grünen		AR207068276079984640	Google	135	1	4680000	350000	199950	4500
Fianna Fáil		AR101183107301900288	Google	35	1	4580000	440000	4900	350
Rumilus Design Oy		AR391102333313875968	Google	32	1	4100000	390000	1600	0
Flamesite s.r.o.		AR522320249995919360	Google	210	1	3630000	170000	12750	250
