location_code	location_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
england_UK	England, United Kingdom	51976	4852	791044771	269685108	9912207	1343809
flemish_region_BE	Flemish Region, Belgium	10652	1801	249927688	96921323	1662551	303118
andalusia_ES	Andalusia, Spain	10059	1345	108858015	41889124	686279	102196
cataluna_ES	Cataluña, Spain	9816	1451	102529490	40593282	628703	102979
nordrhein_westfalen_DE	Nordrhein-Westfalen, Germany	26194	2319	97272940	30864899	997890	95580
attica_region_EL	Attica (region), Greece	6427	1186	96067282	35663523	375684	41017
vienna_AT	Vienna, Austria	8753	1158	82452669	28735018	726379	110717
comunidad_valenciana_ES	Comunidad Valenciana, Spain	9588	1283	73966825	29038579	431246	71289
lombardia_IT	Lombardia, Italy	11118	2856	70068704	25763151	369428	41853
comunidad_de_madrid_ES	Comunidad de Madrid, Spain	8971	1316	68985469	27709615	420959	70906
wallonia_BE	Wallonia, Belgium	7440	1589	67729756	25443875	472640	79368
baden_wurttemberg_DE	Baden-Württemberg, Germany	26341	2247	61536992	19315837	715295	57414
ile_de_france_FR	Île-de-France, France	10559	2364	56361588	21420966	490949	79273
scotland_UK	Scotland, United Kingdom	20628	2264	56064976	19769776	623057	94042
lazio_IT	Lazio, Italy	9957	2529	52527121	19128223	270525	30749
bayern_DE	Bayern, Germany	25102	2213	52495937	17528957	586953	59394
brussels_BE	Brussels, Belgium	8579	1623	51003927	18575647	437394	73962
wales_UK	Wales, United Kingdom	23014	2345	50160833	17005438	588004	82599
budapest_HU	Budapest, Hungary	4199	902	48286888	19644555	125140	39088
bucharest_RO	Bucharest, Romania	4377	918	47831776	20114683	113543	25182
campania_IT	Campania, Italy	9297	2270	45876256	17229990	220943	25832
stockholm_county_SE	Stockholm County, Sweden	8264	1273	44328309	15046047	355246	87800
piedmont_IT	Piedmont, Italy	10109	2485	41785823	15118958	221795	25999
sicilia_IT	Sicilia, Italy	8728	2168	39439408	14927574	186743	22738
central_macedonia_EL	Central Macedonia, Greece	5322	1009	39030689	14436739	144611	13709
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	7436	1183	38811007	12051093	368017	87720
niedersachsen_DE	Niedersachsen, Germany	24218	1975	37774615	11659365	400960	32919
emilia_romagna_IT	Emilia-Romagna, Italy	10070	2559	36966722	13194764	217305	20349
masovian_voivodeship_PL	Masovian Voivodeship, Poland	5083	1166	36818399	13393529	134366	27661
hessen_DE	Hessen, Germany	24359	2025	35025122	11101304	389435	35455
