advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU Christlich Demokratische Union		AR68737343799951360	Google	50k_100k	50k - 100k	289	1	8699766	869976	43498	4349
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	50k_100k	50k - 100k	187	1	5629260	562926	4982	240
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	50k_100k	50k - 100k	113	1	3401638	340163	1700	0
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	50k_100k	50k - 100k	101	1	3040402	304040	3010	165
COALICION CANARIA		AR489541609348661248	Google	50k_100k	50k - 100k	98	1	2950093	295009	2287	90
Mediabrands Digital OÜ		AR530356305605427200	Google	50k_100k	50k - 100k	97	1	2919990	291999	1595	15
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	50k_100k	50k - 100k	87	1	2618960	261896	1309	0
AMERISOFT SRL		AR573801583431647232	Google	50k_100k	50k - 100k	86	1	2588857	258885	1294	0
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	50k_100k	50k - 100k	83	1	2498548	249854	43950	1339
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	50k_100k	50k - 100k	80	1	2408239	240823	15773	767
Open Vld		AR369049153717665792	Google	50k_100k	50k - 100k	72	1	2167415	216741	5960	541
HLAS		AR312619193323225088	Google	50k_100k	50k - 100k	66	1	1986797	198679	2077	120
Partido Popular Regional De Canarias		AR288284801977286656	Google	50k_100k	50k - 100k	59	1	1776076	177607	1294	45
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	50k_100k	50k - 100k	59	1	1776076	177607	58640	1309
mmb media agentur d.o.o.		AR524572049809604608	Google	50k_100k	50k - 100k	54	1	1625561	162556	812	0
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	50k_100k	50k - 100k	53	1	1595458	159545	933	15
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	50k_100k	50k - 100k	51	1	1535252	153525	20289	466
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	50k_100k	50k - 100k	49	1	1475046	147504	872	15
Liberal Alliance		AR183859784640888832	Google	50k_100k	50k - 100k	44	1	1324531	132453	15503	797
SOCIALDEMOKRATIET		AR271193993235136512	Google	50k_100k	50k - 100k	44	1	1324531	132453	59363	1414
Sloboda a Solidarita		AR242125929453715456	Google	50k_100k	50k - 100k	41	1	1234222	123422	1565	105
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	50k_100k	50k - 100k	34	1	1023501	102350	511	0
European Parliament	European Parliament	178362315106	Facebook	50k_100k	50k - 100k	9	1	899991	450000	8691	2000
UAB "BPN LT"		AR135010682042056704	Google	50k_100k	50k - 100k	28	1	842883	84288	421	0
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	50k_100k	50k - 100k	8	1	799992	400000	1702	619
