week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	28533	3321	94226622	32834602	640926	74025
w019	Week 19	53614	5445	865535253	307708560	5704966	761464
w018	Week 18	50144	6039	1127987669	277141304	6876089	735102
w017	Week 17	42528	5563	1089450546	276211813	6870634	751118
w016	Week 16	32197	5960	650200693	175369781	3870480	386872
w015	Week 15	27340	7660	538113047	153328854	3823455	387479
w014	Week 14	20310	6885	384190192	105361290	2776546	267683
w013	Week 13	18336	5859	297545184	96618244	2227129	269253
w012	Week 12	17495	5505	256212661	88235774	1958326	251827
w011	Week 11	12908	4573	190957048	69752093	1383610	194220
w010	Week 10	9992	3718	159671712	58868030	1071562	153960
w009	Week 9	6452	2026	87631825	31188546	664347	100331
w008	Week 8	5538	1375	72336972	26059594	642703	90573
w007	Week 7	4059	1202	49538159	17532108	383352	55137
w006	Week 6	3653	1078	54565869	20534327	419503	58557
w005	Week 5	3887	958	60321129	21339295	477319	74643
w004	Week 4	3795	891	51378389	18792816	440173	64367
w003	Week 3	3374	830	48013560	17040798	421799	65951
w002	Week 2	2506	708	41058635	13799855	311868	50190
w001	Week 1	3040	549	66548496	22923307	608316	99296
