advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rd6	Last 6 days	135	1	22012093	9578150	35347	8137
European Greens		141366725876424	Facebook	rd6	Last 6 days	116	1	18914675	8503559	112462	28127
FDP	FDP	21289227249	Facebook	rd6	Last 6 days	1689	1	15853272	4779055	169171	7520
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	rd6	Last 6 days	372	1	12442053	5209320	58741	10796
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	rd6	Last 6 days	745	1	11883650	3657228	109758	12198
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rd6	Last 6 days	116	1	10731549	4434441	38695	10773
Partito Democratico		77034286895	Facebook	rd6	Last 6 days	133	1	10425166	4423337	32135	5939
România în primul rând	Future Innovation	770704223323599	Facebook	rd6	Last 6 days	44	1	10408637	4561000	11138	2688
sp.a	sp.a	57253967150	Facebook	rd6	Last 6 days	218	1	9942767	3660958	43403	7976
Parlement européen en France	Parlement européen en France	279757933824	Facebook	rd6	Last 6 days	72	1	9772446	4136250	54321	13575
Make.org	Make.org	122037308191612	Facebook	rd6	Last 6 days	25	1	9246862	4430077	39575	9134
SPÖ	SPÖ	77393060080	Facebook	rd6	Last 6 days	620	1	9094985	2958447	81356	13176
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	rd6	Last 6 days	39	1	7362220	3133499	5329	1489
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	rd6	Last 6 days	33	1	7120293	3232272	14353	6199
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	rd6	Last 6 days	50	1	7060624	2976666	10724	1633
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	rd6	Last 6 days	854	1	6965910	2140867	108915	13665
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rd6	Last 6 days	29	1	6614088	2911778	14965	3609
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	rd6	Last 6 days	114	1	6217174	2714142	38395	8218
Open Vld	Open Vld	53668151866	Facebook	rd6	Last 6 days	192	1	6097278	2436370	36763	9384
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rd6	Last 6 days	172	1	5991800	1905142	19115	1413
COALICION CANARIA		AR489541609348661248	Google	rd6	Last 6 days	866	1	5858333	35000	27716	0
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	rd6	Last 6 days	212	1	5665852	2452582	58082	10651
Fidesz	Fidesz	9844779306	Facebook	rd6	Last 6 days	33	1	5601971	2610000	17027	8358
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	rd6	Last 6 days	115	1	5467055	2081761	11046	3919
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	rd6	Last 6 days	35	1	5200991	2368026	48869	12932
