advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	500k_1m	500k - 1m	74	1	73999926	37000000	336498	103371
Podemos	Unidas Podemos	269212336568846	Facebook	500k_1m	500k - 1m	39	1	38999961	19500000	220961	62500
European Commission		107898832590939	Facebook	500k_1m	500k - 1m	19	1	18999981	9500000	79981	20500
Partido Popular	Partido Popular	72249031214	Facebook	500k_1m	500k - 1m	16	1	15999984	8000000	84984	20000
Best For Britain	Best for Britain	1863944713844924	Facebook	500k_1m	500k - 1m	14	1	13999986	7000000	109916	39344
Kialo		729627343834501	Facebook	500k_1m	500k - 1m	13	1	12999987	6500000	75649	25813
Sacramento Kings		96222644025	Facebook	500k_1m	500k - 1m	13	1	12999987	6500000	8444	3293
Conservatives	The Conservative Party	8807334278	Facebook	500k_1m	500k - 1m	12	1	11999988	6000000	69417	13886
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	500k_1m	500k - 1m	11	1	10999989	5500000	21047	10214
Vlaams Belang	Vlaams Belang	56605856504	Facebook	500k_1m	500k - 1m	10	1	9999990	5000000	49990	10000
People's Vote UK	People's Vote	748608695327755	Facebook	500k_1m	500k - 1m	10	1	9999990	5000000	121493	31244
Greenpeace France		39435457457	Facebook	500k_1m	500k - 1m	10	1	9999990	5000000	49990	10000
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	500k_1m	500k - 1m	8	1	7999992	4000000	18992	4700
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	500k_1m	500k - 1m	8	1	7999992	4000000	12604	5042
România în primul rând	Future Innovation	770704223323599	Facebook	500k_1m	500k - 1m	7	1	6999993	3500000	5671	1260
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	500k_1m	500k - 1m	6	1	5999994	3000000	13994	4000
Un país moderno	Unidas Podemos	577723459314066	Facebook	500k_1m	500k - 1m	6	1	5999994	3000000	25994	5500
sp.a	sp.a	57253967150	Facebook	500k_1m	500k - 1m	5	1	4999995	2500000	24995	5000
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	500k_1m	500k - 1m	5	1	4999995	2500000	6302	1890
Sosialidemokraatit SDP		108945982480217	Facebook	500k_1m	500k - 1m	5	1	4999995	2500000	16995	4000
Partito Democratico		77034286895	Facebook	500k_1m	500k - 1m	5	1	4999995	2500000	25995	8500
SPD	SPD	47930567748	Facebook	500k_1m	500k - 1m	5	1	4999995	2500000	24995	5000
Referendum Commission		580832208630212	Facebook	500k_1m	500k - 1m	5	1	4999995	2500000	24995	5000
Lingokids		497983453648415	Facebook	500k_1m	500k - 1m	5	1	4999995	2500000	11122	2759
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	500k_1m	500k - 1m	4	1	3999996	2000000	4651	930
