recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-19	2019-05-19	LT	Lithuania	41	14	451262	125588	2308	151
rd2	Last 2 days	2019-05-18	2019-05-19	LT	Lithuania	41	14	886373	245098	4319	302
rd3	Last 3 days	2019-05-17	2019-05-19	LT	Lithuania	41	14	1004543	271519	4788	304
rd4	Last 4 days	2019-05-16	2019-05-19	LT	Lithuania	41	14	1004543	271519	4788	304
rd5	Last 5 days	2019-05-15	2019-05-19	LT	Lithuania	41	14	1004543	271519	4788	304
rd6	Last 6 days	2019-05-14	2019-05-19	LT	Lithuania	41	14	1004543	271519	4788	304
rw1	Last week	2019-05-13	2019-05-19	LT	Lithuania	41	14	1004543	271519	4788	304
rw2	Last 2 weeks	2019-05-06	2019-05-19	LT	Lithuania	41	14	1004543	271519	4788	304
rw3	Last 3 weeks	2019-04-29	2019-05-19	LT	Lithuania	41	14	1004543	271519	4788	304
rw4	Last 4 weeks	2019-04-22	2019-05-19	LT	Lithuania	41	14	1004543	271519	4788	304
rm1	Last month	2019-04-20	2019-05-19	LT	Lithuania	41	14	1004543	271519	4788	304
rm2	Last 2 months	2019-03-21	2019-05-19	LT	Lithuania	41	14	1004543	271519	4788	304
rm3	Last 3 months	2019-02-19	2019-05-19	LT	Lithuania	41	14	1004543	271519	4788	304
rm6	Last 6 months	2019-01-01	2019-05-19	LT	Lithuania	41	14	1004543	271519	4788	304
