advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	u25_34	unknown (25-34)	RO	Romania	197	1	17677	7703	44	10
Kialo		729627343834501	Facebook	u25_34	unknown (25-34)	RO	Romania	268	1	8890	3578	56	13
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	u25_34	unknown (25-34)	RO	Romania	74	1	7948	3670	18	5
România în primul rând	Future Innovation	770704223323599	Facebook	u25_34	unknown (25-34)	RO	Romania	67	1	5314	2293	5	1
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	u25_34	unknown (25-34)	RO	Romania	111	1	5219	2286	7	1
Declic	Declic	686190454826244	Facebook	u25_34	unknown (25-34)	RO	Romania	25	1	4958	2156	12	2
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	u25_34	unknown (25-34)	RO	Romania	80	1	4542	1938	17	3
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	u25_34	unknown (25-34)	RO	Romania	31	1	3787	1523	5	0
European Commission		107898832590939	Facebook	u25_34	unknown (25-34)	RO	Romania	13	1	3023	1503	8	2
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	u25_34	unknown (25-34)	RO	Romania	43	1	2908	1364	5	1
European Parliament		178362315106	Facebook	u25_34	unknown (25-34)	RO	Romania	55	1	2513	1081	10	1
Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	u25_34	unknown (25-34)	RO	Romania	36	1	2461	1099	6	1
European Greens		141366725876424	Facebook	u25_34	unknown (25-34)	RO	Romania	24	1	2434	1115	5	1
Tikaboo Romania		617570241716349	Facebook	u25_34	unknown (25-34)	RO	Romania	3	1	2140	900	6	1
Romania #nuepsd	Future Innovation	293215748279337	Facebook	u25_34	unknown (25-34)	RO	Romania	34	1	1977	909	1	0
Silvia Dinică		1128229287275038	Facebook	u25_34	unknown (25-34)	RO	Romania	21	1	1359	550	2	0
RMDSZ	RMDSZ	102601499822802	Facebook	u25_34	unknown (25-34)	RO	Romania	123	1	1288	345	1	0
WWF-Romania		189728367297	Facebook	u25_34	unknown (25-34)	RO	Romania	2	1	1271	470	0	0
Custom Resita Festival		2218037274884370	Facebook	u25_34	unknown (25-34)	RO	Romania	1	1	1135	567	1	0
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	u25_34	unknown (25-34)	RO	Romania	33	1	1005	466	1	0
Vasile Cristian Lungu - Senator PMP	Partidul Mișcarea Populară	167669676772029	Facebook	u25_34	unknown (25-34)	RO	Romania	16	1	922	431	2	0
GRUNDIG		1508163162762486	Facebook	u25_34	unknown (25-34)	RO	Romania	14	1	875	407	1	0
Viorel Catarama	Dreapta Liberală - DL	795022763862618	Facebook	u25_34	unknown (25-34)	RO	Romania	18	1	704	331	0	0
Dacian Cioloş	PLUS	107543802616247	Facebook	u25_34	unknown (25-34)	RO	Romania	3	1	652	245	1	0
European Youth Event		919232861444360	Facebook	u25_34	unknown (25-34)	RO	Romania	5	1	647	298	0	0
PSD Galati	Partidul Social Democrat Galati	1585170161775563	Facebook	u25_34	unknown (25-34)	RO	Romania	19	1	619	295	1	0
Dan Barna	Uniunea Salvați România - USR	207255636351408	Facebook	u25_34	unknown (25-34)	RO	Romania	9	1	615	250	1	0
USR Sector 5	Uniunea Salvați România	1460571894265803	Facebook	u25_34	unknown (25-34)	RO	Romania	32	1	567	198	0	0
Guardian Weekly		64525551258	Facebook	u25_34	unknown (25-34)	RO	Romania	8	1	565	213	1	0
USR Dolj	Uniunea Salvați România	109556372802910	Facebook	u25_34	unknown (25-34)	RO	Romania	25	1	515	165	1	0
Game of Sultans		185311195624361	Facebook	u25_34	unknown (25-34)	RO	Romania	6	1	512	225	10	2
