day_code_filter	day_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d124	2019-05-04	European Parliament		178362315106	Facebook	158	1	10837889	4963159	60556	17150
d124	2019-05-04	CDU	CDU	78502295414	Facebook	3170	1	4830978	1159375	43378	1037
d124	2019-05-04	AMERISOFT SRL		AR573801583431647232	Google	108	1	3792231	375777	651	0
d124	2019-05-04	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	24	1	3168369	1377563	7141	2134
d124	2019-05-04	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	1378	1	1910153	64758	6636	0
d124	2019-05-04	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	26	1	1666839	760268	4977	1172
d124	2019-05-04	Vlaams Belang	Vlaams Belang	56605856504	Facebook	4	1	1546076	718039	6478	1696
d124	2019-05-04	sp.a	sp.a	57253967150	Facebook	54	1	1468224	676304	6926	1715
d124	2019-05-04	mmb media agentur d.o.o.		AR524572049809604608	Google	635	1	1441222	59047	4348	0
d124	2019-05-04	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	75	1	1365847	569335	3227	862
d124	2019-05-04	Fidesz	Fidesz	9844779306	Facebook	13	1	1333327	625000	4178	2011
d124	2019-05-04	Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	8	1	1237498	593750	4310	1087
d124	2019-05-04	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	12	1	1125844	521791	3502	1599
d124	2019-05-04	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	224	1	1088119	445594	5388	1046
d124	2019-05-04	Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	8	1	1024998	492500	1430	283
d124	2019-05-04	Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	271	1	992873	72129	1696	0
d124	2019-05-04	Πέτρος Κόκκαλης - Petros Kokkalis	Πέτρος Κόκκαλης - Petros Kokkalis	234040963454964	Facebook	30	1	989065	380416	3346	400
d124	2019-05-04	The Brexit Party	The Brexit Party	230416667843105	Facebook	16	1	929223	442996	13141	3678
d124	2019-05-04	Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	16	1	851213	383525	3471	763
d124	2019-05-04	Håll Sverige Rent	Håll Sverige Rent	236879092476	Facebook	11	1	764877	324642	6831	1459
d124	2019-05-04	România în primul rând	Future Innovation	770704223323599	Facebook	15	1	749045	350619	796	219
d124	2019-05-04	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	17	1	648088	276554	1238	273
d124	2019-05-04	Kyriakos Mitsotakis		34848567724	Facebook	7	1	599997	255000	1247	250
d124	2019-05-04	SPÖ	SPÖ	77393060080	Facebook	277	1	569657	194733	3615	498
d124	2019-05-04	EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	92	1	560166	44999	775	0
