location_code	location_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
england_UK	England, United Kingdom	51217	4779	774317528	263489214	9712020	1310737
flemish_region_BE	Flemish Region, Belgium	9773	1731	223067432	85928777	1474123	261960
andalusia_ES	Andalusia, Spain	9765	1288	105958268	40742898	675718	101091
cataluna_ES	Cataluña, Spain	9374	1391	97989866	39182331	602623	101273
nordrhein_westfalen_DE	Nordrhein-Westfalen, Germany	23631	2234	88398028	27838485	896280	86459
attica_region_EL	Attica (region), Greece	5965	1133	85746442	31907609	333417	34927
vienna_AT	Vienna, Austria	8404	1123	73969578	25820384	665525	98225
comunidad_valenciana_ES	Comunidad Valenciana, Spain	9268	1235	72264008	28379505	421924	70779
comunidad_de_madrid_ES	Comunidad de Madrid, Spain	8675	1266	67633333	27403222	412712	70764
lombardia_IT	Lombardia, Italy	10556	2759	64011387	23354603	340055	37730
wallonia_BE	Wallonia, Belgium	6847	1532	57774361	21622229	394885	64143
baden_wurttemberg_DE	Baden-Württemberg, Germany	23745	2169	55318873	17372320	640817	51704
scotland_UK	Scotland, United Kingdom	20351	2223	54746537	19253822	604070	90786
ile_de_france_FR	Île-de-France, France	9120	2282	50165149	19050660	408280	67302
wales_UK	Wales, United Kingdom	22684	2304	49229056	16651201	578521	81180
bayern_DE	Bayern, Germany	22647	2142	47693377	15953170	532189	53549
lazio_IT	Lazio, Italy	9361	2439	46899991	17102903	239071	27540
brussels_BE	Brussels, Belgium	7846	1566	44698746	16315614	374223	63062
budapest_HU	Budapest, Hungary	3883	867	42559756	17210291	112890	34754
bucharest_RO	Bucharest, Romania	4100	886	41527681	17327228	99267	22432
campania_IT	Campania, Italy	8808	2184	41408901	15473245	196658	22548
stockholm_county_SE	Stockholm County, Sweden	7628	1232	39861370	13571321	319783	78531
piedmont_IT	Piedmont, Italy	9569	2398	37052061	13319809	195018	22470
central_macedonia_EL	Central Macedonia, Greece	4952	968	34695953	12793589	131668	12321
sicilia_IT	Sicilia, Italy	8307	2096	34597454	12832977	165187	19384
niedersachsen_DE	Niedersachsen, Germany	21831	1911	33905489	10414349	363177	29714
masovian_voivodeship_PL	Masovian Voivodeship, Poland	4752	1119	32976417	12156532	122685	25255
emilia_romagna_IT	Emilia-Romagna, Italy	9528	2467	32969135	11633359	194889	17838
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	6806	1132	32752409	10047402	312778	73108
islas_canarias_ES	Islas Canarias, Spain	7414	1115	32046397	11843641	190704	25968
hessen_DE	Hessen, Germany	21965	1964	31786142	10014755	355663	32323
veneto_IT	Veneto, Italy	8997	2366	30334398	10625220	158749	14555
galicia_ES	Galicia, Spain	7568	1017	29991301	11126868	226979	26669
puglia_IT	Puglia, Italy	8511	2127	29025927	10581147	139657	14598
tuscany_IT	Tuscany, Italy	8845	2326	28806089	10283178	164197	15869
berlin_DE	Berlin, Germany	21056	1988	28433841	9193556	330767	35909
central_region_MT	Central Region, Malta	4260	775	26435938	9008467	153965	11524
castilla_y_leon_ES	Castilla y Leon, Spain	9172	1013	26278992	9400931	258866	23115
vastra_gotaland_county_SE	Västra Götaland County, Sweden	7051	1091	26039992	8779874	229744	56444
upper_austria_AT	Upper Austria, Austria	7580	875	25327050	8040290	291226	28564
zuid_holland_NL	Zuid-Holland, Netherlands	5062	1055	25216515	10016982	206123	40069
central_denmark_region_DK	Central Denmark Region, Denmark	6307	967	24847758	7695680	232824	55669
rhone_alpes_FR	Rhône-Alpes, France	7860	1850	24456215	9462154	200582	33150
rheinland_pfalz_DE	Rheinland-Pfalz, Germany	21693	1953	24430069	7184770	322024	21371
uusimaa_FI	Uusimaa, Finland	4183	858	23983461	8190340	260014	40950
aragon_ES	Aragón, Spain	10831	969	22290051	6436685	514313	12680
noord_holland_NL	Noord-Holland, Netherlands	5125	1088	20562218	7961400	181096	33482
region_of_southern_denmark_DK	Region of Southern Denmark, Denmark	6042	954	19972329	6290602	185808	43657
prague_CZ	Prague, Czechia	5005	713	19608682	6534538	78150	18667
skane_county_SE	Skåne County, Sweden	6893	1089	19558596	6656394	168408	41431
castilla_la_mancha_ES	Castilla-La Mancha, Spain	7840	987	19385861	7410821	141723	18075
provence_alpes_cote_dazur_FR	Provence-Alpes-Côte d'Azur, France	7839	1854	19244735	7281059	144274	21733
silesian_voivodeship_PL	Silesian Voivodeship, Poland	3968	987	18568361	6585344	46383	8267
bratislava_region_SK	Bratislava Region, Slovakia	5387	654	16988600	5740410	115180	13406
hamburg_DE	Hamburg, Germany	20019	1764	16647185	5295941	196478	19474
balearic_islands_ES	Balearic Islands, Spain	6700	1011	16592971	5869886	101355	13218
dublin_IE	Dublin, Ireland	3813	980	16551354	6341648	109659	15224
styria_AT	Styria, Austria	6410	866	16288184	5784394	145519	22512
northern_ireland_UK	Northern Ireland, United Kingdom	15809	1935	16243933	5598853	194998	19273
