advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Fidesz	Fidesz	9844779306	Facebook	100_1k	100 - 1k	HU	Hungary	100	1	13224340	5939138	59560	25413
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	100_1k	100 - 1k	HU	Hungary	77	1	7253517	3233171	20639	9614
Kálmán Olga Hivatalos oldala	Kálmán Olga Hivatalos oldala	1878531865537365	Facebook	100_1k	100 - 1k	HU	Hungary	70	1	3983001	1706400	13864	6124
MSZP	MSZP	115388925185513	Facebook	100_1k	100 - 1k	HU	Hungary	31	1	3289724	1422867	8420	3642
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	100_1k	100 - 1k	HU	Hungary	18	1	3151731	1352547	3914	1897
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	100_1k	100 - 1k	HU	Hungary	19	1	2900200	1302685	9286	4186
Jakab Péter	Jobbik Magyarországért Mozgalom	781150971947219	Facebook	100_1k	100 - 1k	HU	Hungary	11	1	2672896	1135462	5178	2431
Alfahír	Alfahír Hírportál	525574220799452	Facebook	100_1k	100 - 1k	HU	Hungary	44	1	2623808	1147520	8648	4144
Partizán	Gulyás Márton Ferenc	1406386486355924	Facebook	100_1k	100 - 1k	HU	Hungary	33	1	2570992	1052503	4401	1994
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	100_1k	100 - 1k	HU	Hungary	30	1	2364412	1036890	4034	1828
Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	100_1k	100 - 1k	HU	Hungary	46	1	2190552	924983	7443	3165
European Parliament	European Parliament	178362315106	Facebook	100_1k	100 - 1k	HU	Hungary	10	1	2099989	919999	5489	1399
Gyurcsány Ferenc	Demokratikus Koalíció	187301974635606	Facebook	100_1k	100 - 1k	HU	Hungary	18	1	2092479	985147	5743	2820
Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	100_1k	100 - 1k	HU	Hungary	136	1	1603297	553323	5045	1380
Gyöngyösi Márton	Jobbik Magyarországért Mozgalom	781030738624077	Facebook	100_1k	100 - 1k	HU	Hungary	8	1	1477742	621099	3152	1559
Cseh Katalin - Momentum	Momentum Mozgalom	682448271826776	Facebook	100_1k	100 - 1k	HU	Hungary	25	1	1460929	633297	3639	1656
Európai Parlament Tájékoztatási Irodája	Európai Parlament Tájékoztatási Irodája	126893087354793	Facebook	100_1k	100 - 1k	HU	Hungary	10	1	1329486	553646	1438	659
Schmuck Erzsébet	LMP - Lehet Más a Politika	1461534750733248	Facebook	100_1k	100 - 1k	HU	Hungary	3	1	1199996	499999	1238	619
European Commission	European Commission	107898832590939	Facebook	100_1k	100 - 1k	HU	Hungary	19	1	1167573	519958	2068	816
Csárdi Antal	LMP - Lehet Más a Politika	136387873164491	Facebook	100_1k	100 - 1k	HU	Hungary	4	1	1127199	490881	1941	900
Demeter Márta	LMP - Lehet Más a Politika	1372750529476614	Facebook	100_1k	100 - 1k	HU	Hungary	3	1	899996	399999	928	464
European Greens	European Greens	141366725876424	Facebook	100_1k	100 - 1k	HU	Hungary	3	1	749996	309999	2497	1100
Nemzeti Televízió	Alfahír Hírportál	164061553749320	Facebook	100_1k	100 - 1k	HU	Hungary	4	1	518495	259249	957	470
Jobbik Ifjúsági Tagozat	Jobbik Magyarországért Mozgalom	129382163754757	Facebook	100_1k	100 - 1k	HU	Hungary	4	1	482697	218629	1379	602
Sneider Tamás	Országgyűlés Hivatala Jobbik Frakció	329107800543535	Facebook	100_1k	100 - 1k	HU	Hungary	4	1	259246	111849	957	470
