advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	f55_64	female (55-64)	399	1	8162065	3674445	41294	9408
Fidesz	Fidesz	9844779306	Facebook	f55_64	female (55-64)	121	1	3622439	1605255	18719	7990
SPD	SPD	47930567748	Facebook	f55_64	female (55-64)	2030	1	1821092	424386	39931	1054
Ciudadanos	Ciudadanos	74078667754	Facebook	f55_64	female (55-64)	126	1	1702274	794843	16127	4895
CDU	CDU	78502295414	Facebook	f55_64	female (55-64)	13170	1	1515396	325153	49848	131
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	f55_64	female (55-64)	4578	1	1408502	375459	20526	947
Avaaz	Avaaz	8340223883	Facebook	f55_64	female (55-64)	111	1	1329113	579096	6646	1758
Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	f55_64	female (55-64)	138	1	1310894	390295	4975	1388
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	f55_64	female (55-64)	68	1	1177594	491864	5617	1190
Open Vld	Open Vld	53668151866	Facebook	f55_64	female (55-64)	117	1	1051884	446755	11731	2915
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	f55_64	female (55-64)	20	1	989006	463329	2332	954
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	f55_64	female (55-64)	211	1	915508	370773	14165	3322
FDP	FDP	21289227249	Facebook	f55_64	female (55-64)	1338	1	897492	244042	12570	353
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	f55_64	female (55-64)	20	1	839253	388935	2606	1208
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	f55_64	female (55-64)	29	1	818636	367030	2484	577
Ciudadanos Andalucía	Ciudadanos	522336804500176	Facebook	f55_64	female (55-64)	303	1	800624	290788	8162	1454
