advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	u35_44	unknown (35-44)	364	1	161699	71435	869	205
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	u35_44	unknown (35-44)	2772	1	71780	20068	922	60
European Greens	European Greens	141366725876424	Facebook	u35_44	unknown (35-44)	74	1	63516	29325	661	168
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	u35_44	unknown (35-44)	56	1	58218	26192	373	85
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	u35_44	unknown (35-44)	200	1	55447	22854	866	215
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	u35_44	unknown (35-44)	55	1	51642	22478	300	74
The Labour Party	The Labour Party	25749647410	Facebook	u35_44	unknown (35-44)	176	1	39197	16240	411	65
Moderaterna	Moderaterna	7719591155	Facebook	u35_44	unknown (35-44)	123	1	34806	14318	526	129
Ciudadanos	Ciudadanos	74078667754	Facebook	u35_44	unknown (35-44)	102	1	34041	13220	416	91
Gouvernement	Gouvernement	392341217527576	Facebook	u35_44	unknown (35-44)	14	1	33950	15250	312	65
To Potami	To Potami	240638659452549	Facebook	u35_44	unknown (35-44)	19	1	32326	14568	185	43
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	u35_44	unknown (35-44)	499	1	29994	8490	528	44
CDU	CDU	78502295414	Facebook	u35_44	unknown (35-44)	4210	1	26280	6338	757	3
Avaaz	Avaaz	8340223883	Facebook	u35_44	unknown (35-44)	104	1	24535	10420	153	35
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	u35_44	unknown (35-44)	81	1	24446	9162	173	49
INBOX	New Digital Media	369693523475596	Facebook	u35_44	unknown (35-44)	64	1	24122	10768	33	3
Ρένα Δούρου	Ρένα Δούρου	225197477683663	Facebook	u35_44	unknown (35-44)	67	1	20395	8137	107	21
People's Vote UK	People's Vote	748608695327755	Facebook	u35_44	unknown (35-44)	49	1	19725	8615	308	94
Ομάδα Μνήμης	In Progress	230319800467420	Facebook	u35_44	unknown (35-44)	7	1	19541	9159	114	25
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	u35_44	unknown (35-44)	39	1	19219	8488	257	73
Παύλος Γερουλάνος	Παύλος Γερουλάνος	196882087005924	Facebook	u35_44	unknown (35-44)	43	1	18895	8076	79	17
Amnesty International UK	Amnesty International UK	7624294394	Facebook	u35_44	unknown (35-44)	312	1	18514	3649	555	14
Esquerra Republicana de Catalunya	Esquerra Republicana de Catalunya	150234575797	Facebook	u35_44	unknown (35-44)	128	1	17872	7043	134	23
