advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
ΑΚΕΛ - AKEL	ΑΚΕΛ - AKEL	117799504920552	Facebook	10k_50k	10k - 50k	CY	Cyprus	33	1	1638176	327641	3243	0
Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ	EDEK	489124984493054	Facebook	10k_50k	10k - 50k	CY	Cyprus	21	1	1049967	209997	2078	0
Nicos Tornaritis - Νίκος Τορναρίτης	Nicos Tornaritis - Νίκος Τορναρίτης	115653995162093	Facebook	10k_50k	10k - 50k	CY	Cyprus	17	1	842660	168535	1668	0
Λευτέρης Χριστοφόρου - Lefteris Christoforou		832972046731724	Facebook	10k_50k	10k - 50k	CY	Cyprus	15	1	749894	149981	1484	0
Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou		270213387069072	Facebook	10k_50k	10k - 50k	CY	Cyprus	14	1	699807	139964	1385	0
Costas Mavrides - Κώστας Μαυρίδης	Costas Mavrides - Κώστας Μαυρίδης	197874087030899	Facebook	10k_50k	10k - 50k	CY	Cyprus	12	1	599896	119981	1587	100
Στηρίζουμε Μαρίνο Κλεάνθους για την Ευρωβουλή		831939610501208	Facebook	10k_50k	10k - 50k	CY	Cyprus	12	1	599589	119920	1986	199
Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS		46620712083	Facebook	10k_50k	10k - 50k	CY	Cyprus	10	1	492393	98480	974	0
Νικόλας Παπαδόπουλος	Μανωλης Κυριακου	998046016880140	Facebook	10k_50k	10k - 50k	CY	Cyprus	8	1	399905	79982	791	0
Δημήτρης Παπαδάκης	Δημήτρης Παπαδάκης - Demetris Papadakis	1406872809567447	Facebook	10k_50k	10k - 50k	CY	Cyprus	7	1	349900	69981	692	0
Prof. Dr. Niyazi Kızılyürek	Niyazi Kızılyürek	878208312216203	Facebook	10k_50k	10k - 50k	CY	Cyprus	7	1	349199	69841	706	0
Παναγιώτης Σεντώνας - Panayiotis Sentonas		436419753766608	Facebook	10k_50k	10k - 50k	CY	Cyprus	6	1	299928	59986	593	0
Δημοκρατικός Συναγερμός	Δημοκρατικός Συναγερμός	64330641883	Facebook	10k_50k	10k - 50k	CY	Cyprus	6	1	299924	59986	593	0
European Parliament Office in Cyprus		205478755729	Facebook	10k_50k	10k - 50k	CY	Cyprus	6	1	299852	59971	993	99
Δημοκρατικό Κόμμα	Constantinos Georgallides	293704380825571	Facebook	10k_50k	10k - 50k	CY	Cyprus	5	1	249970	49995	494	0
European Parliament		178362315106	Facebook	10k_50k	10k - 50k	CY	Cyprus	5	1	249954	49991	1694	299
Κόμμα Δικαιοσύνης - ΟΑΔ	Michael Minas	404386316397983	Facebook	10k_50k	10k - 50k	CY	Cyprus	5	1	249915	49984	494	0
Marinos Mousiouttas	Andreas Nikitaras	306684270037168	Facebook	10k_50k	10k - 50k	CY	Cyprus	3	1	149996	29999	296	0
Union of Cypriots - Kıbrıslılar Birliği - Ένωσις Κυπρίων		2000341880290773	Facebook	10k_50k	10k - 50k	CY	Cyprus	3	1	146808	29362	218	43
Παρατηρητήριο Τρίτης Ηλικίας Κύπρου		1788557328061678	Facebook	10k_50k	10k - 50k	CY	Cyprus	3	1	107727	21545	213	0
Dr. Eleni Stavrou		822417261217421	Facebook	10k_50k	10k - 50k	CY	Cyprus	2	1	99998	20000	198	0
Katerina Christophidou		131599480586562	Facebook	10k_50k	10k - 50k	CY	Cyprus	2	1	99991	19998	197	0
Takis Hadjigeorgiou		610639632353466	Facebook	10k_50k	10k - 50k	CY	Cyprus	2	1	99954	19991	197	0
Μαρία Παστελλά		408568246617951	Facebook	10k_50k	10k - 50k	CY	Cyprus	2	1	98469	19694	173	0
UK-Cyprus Enterprise Council	UK-Cyprus Enterprise Council 	1837120569879342	Facebook	10k_50k	10k - 50k	CY	Cyprus	3	1	97729	19546	223	0
