advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partidul Naţional Liberal		181375448581167	Facebook	50_100	50 - 100	RO	Romania	41	1	1576457	579970	2115	423
România în primul rând	Future Innovation	770704223323599	Facebook	50_100	50 - 100	RO	Romania	31	1	1527753	556684	1622	325
RMDSZ	RMDSZ	102601499822802	Facebook	50_100	50 - 100	RO	Romania	26	1	751401	225174	1360	272
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	50_100	50 - 100	RO	Romania	8	1	723946	314544	418	83
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	50_100	50 - 100	RO	Romania	11	1	723944	314543	575	115
Departamentul Fonduri Europene al PSD		1030472763816931	Facebook	50_100	50 - 100	RO	Romania	4	1	698949	299551	209	41
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	50_100	50 - 100	RO	Romania	18	1	654045	267114	942	188
Siegfried Muresan		731035500293728	Facebook	50_100	50 - 100	RO	Romania	5	1	599123	234657	261	52
Kialo		729627343834501	Facebook	50_100	50 - 100	RO	Romania	237	1	554788	226155	2839	563
Viorel Catarama	Dreapta Liberală - DL	795022763862618	Facebook	50_100	50 - 100	RO	Romania	9	1	549198	259623	471	94
Partidul Social Democrat Departamentul pentru Politici Fiscal Bugetare		2006803969624108	Facebook	50_100	50 - 100	RO	Romania	4	1	549188	249632	209	41
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	50_100	50 - 100	RO	Romania	15	1	504259	177242	785	157
Winkler Gyula		1560147330888040	Facebook	50_100	50 - 100	RO	Romania	12	1	399417	139798	628	125
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	50_100	50 - 100	RO	Romania	18	1	399412	117330	942	188
Calin Popescu Tariceanu		227922987222524	Facebook	50_100	50 - 100	RO	Romania	8	1	374455	149783	418	83
Gregoriana Tudoran		1985293741779690	Facebook	50_100	50 - 100	RO	Romania	13	1	373689	104695	678	136
ALDE Sector 6		428872677299268	Facebook	50_100	50 - 100	RO	Romania	16	1	339501	72395	837	167
Departamentul pentru Mediul de Afaceri, Comerţ şi Antreprenoriat al PSD	Partidul Social Democrat	1238111743018265	Facebook	50_100	50 - 100	RO	Romania	2	1	299565	124819	104	20
Departamentul pentru Comunicații și Societate Informațională al PSD	Partidul Social Democrat	346281832652995	Facebook	50_100	50 - 100	RO	Romania	2	1	299558	124816	104	20
G4 Media		425074431631411	Facebook	50_100	50 - 100	RO	Romania	3	1	299547	109834	157	31
Rares Bogdan		204397909629079	Facebook	50_100	50 - 100	RO	Romania	8	1	249635	79884	418	83
Ionel Dancă		227578001357165	Facebook	50_100	50 - 100	RO	Romania	1	1	249627	99851	52	10
George Simion Unire		294035851052538	Facebook	50_100	50 - 100	RO	Romania	7	1	246207	91115	296	59
Greens/EFA in the European Parliament		150527751674751	Facebook	50_100	50 - 100	RO	Romania	21	1	230656	107884	355	67
Partidul Social Democrat - Departamentul pentru românii de pretutindeni	Partidul Social Democrat	315931009106788	Facebook	50_100	50 - 100	RO	Romania	3	1	199710	99855	157	31
