advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kokoomus	Kokoomus	201285237101	Facebook	0_1k	0 - 1k	FI	Finland	561	1	560439	0	55539	0
Ida Schauman	Schauman Ida Emilia Axelsdotter	1449434138617787	Facebook	0_1k	0 - 1k	FI	Finland	200	1	199800	0	19800	0
Timo Korhonen		146927742017103	Facebook	0_1k	0 - 1k	FI	Finland	51	1	50929	0	5047	0
Vasemmistoliitto		60390955171	Facebook	0_1k	0 - 1k	FI	Finland	46	1	45953	0	4553	0
Sosialidemokraatit SDP		108945982480217	Facebook	0_1k	0 - 1k	FI	Finland	27	1	26973	0	2673	0
Vihreät - De Gröna	Vihreät - De Gröna	33722070600	Facebook	0_1k	0 - 1k	FI	Finland	26	1	25974	0	2574	0
Henrik Wickström	Wickström 2019	448116415229902	Facebook	0_1k	0 - 1k	FI	Finland	23	1	22977	0	2276	0
Tanja Vahvelainen kansanedustajaehdokas		653005468206971	Facebook	0_1k	0 - 1k	FI	Finland	21	1	20978	0	2078	0
Saara Hyrkkö		250829455020050	Facebook	0_1k	0 - 1k	FI	Finland	18	1	17981	0	1782	0
Mikkel Näkkäläjärvi		617733068345315	Facebook	0_1k	0 - 1k	FI	Finland	18	1	17975	0	1781	0
Marko Ekqvist		899967553367075	Facebook	0_1k	0 - 1k	FI	Finland	17	1	16983	0	1683	0
Marisanna Jarva		134061183294108	Facebook	0_1k	0 - 1k	FI	Finland	17	1	16983	0	1683	0
Stina Wahlsten		247410845719596	Facebook	0_1k	0 - 1k	FI	Finland	17	1	16982	0	1682	0
Greenpeace Suomi	Greenpeace Suomi	9227859351	Facebook	0_1k	0 - 1k	FI	Finland	15	1	14985	0	1395	0
Elsi Katainen		190042298268350	Facebook	0_1k	0 - 1k	FI	Finland	15	1	14974	0	1483	0
Henna Virkkunen	Henna Virkkunen	120537424633927	Facebook	0_1k	0 - 1k	FI	Finland	13	1	12987	0	1287	0
Helena Särkijärvi		578535298893731	Facebook	0_1k	0 - 1k	FI	Finland	13	1	12987	0	1287	0
Paula Aikio-Tallgren EU-vaaliehdokas	Pohjoisen asian osaajat ry	510346432432044	Facebook	0_1k	0 - 1k	FI	Finland	13	1	12986	0	1286	0
Vihreät nuoret		362064961211	Facebook	0_1k	0 - 1k	FI	Finland	13	1	12976	0	1285	0
XAMK - Kaakkois-Suomen ammattikorkeakoulu		1713318895550712	Facebook	0_1k	0 - 1k	FI	Finland	12	1	11988	0	1188	0
Jussi Mäkipelto - Liberaalipuolue		1057558317751103	Facebook	0_1k	0 - 1k	FI	Finland	12	1	11987	0	1188	0
Antton Rönnholm	Antton Rönnholm	575908612596562	Facebook	0_1k	0 - 1k	FI	Finland	11	1	10239	0	1014	0
Karri Ollila Europarlamenttiin 2019	Karri Ollila	300059733998436	Facebook	0_1k	0 - 1k	FI	Finland	10	1	9990	0	990	0
European Parliament		178362315106	Facebook	0_1k	0 - 1k	FI	Finland	9	1	8991	0	891	0
Janika Takatalo	Takatalo Janika Emmi Kristiina	1380023342235751	Facebook	0_1k	0 - 1k	FI	Finland	9	1	8991	0	891	0
