week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w019	Week 19	2019-05-06	2019-05-12	LV	Latvia	279	71	4688477	1683727	21470	1922
w018	Week 18	2019-04-29	2019-05-05	LV	Latvia	322	100	4825365	1760994	24787	3892
w017	Week 17	2019-04-22	2019-04-28	LV	Latvia	330	95	1875719	587913	8604	1184
w016	Week 16	2019-04-15	2019-04-21	LV	Latvia	349	115	816215	233321	5218	358
w015	Week 15	2019-04-08	2019-04-14	LV	Latvia	454	169	1504113	578654	5286	538
w014	Week 14	2019-04-01	2019-04-07	LV	Latvia	370	164	596781	188430	3046	319
w013	Week 13	2019-03-25	2019-03-31	LV	Latvia	339	143	455460	150479	4414	219
w012	Week 12	2019-03-18	2019-03-24	LV	Latvia	284	130	784629	182335	2465	41
w011	Week 11	2019-03-11	2019-03-17	LV	Latvia	178	82	393133	112514	1877	108
w010	Week 10	2019-03-04	2019-03-10	LV	Latvia	192	73	852805	320732	2748	273
w009	Week 9	2019-02-25	2019-03-03	LV	Latvia	90	46	218703	84196	737	71
w008	Week 8	2019-02-18	2019-02-24	LV	Latvia	78	41	220533	63384	689	67
w007	Week 7	2019-02-11	2019-02-17	LV	Latvia	52	33	29555	7485	157	7
w006	Week 6	2019-02-04	2019-02-10	LV	Latvia	43	22	15525	6845	110	16
w005	Week 5	2019-01-28	2019-02-03	LV	Latvia	57	24	10852	4238	72	4
w004	Week 4	2019-01-21	2019-01-27	LV	Latvia	44	19	10287	3884	24	1
w003	Week 3	2019-01-14	2019-01-20	LV	Latvia	58	24	27038	10678	151	19
w002	Week 2	2019-01-07	2019-01-13	LV	Latvia	39	20	4894	1496	57	0
w001	Week 1	2019-01-01	2019-01-06	LV	Latvia	32	16	2519	1144	17	1
