advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	media_code_filter	media_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	text	Text	72	1	32940000	3260000	377400	7600
SPD		AR456734381399080960	Google	text	Text	32	1	8330000	820000	427250	36700
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	text	Text	62	1	3950000	340000	192250	4050
CENTERPARTIETS RIKSORGANISATION		AR484881879070146560	Google	text	Text	266	1	2840000	20000	110800	2350
Gestion et Action Libérale		AR201311233196949504	Google	text	Text	210	1	2280000	20000	103500	1850
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	text	Text	38	1	2000000	170000	189250	3850
Bündnis 90/Die Grünen Baden-Württemberg		AR17917091730423808	Google	text	Text	134	1	1340000	0	6700	0
HLAS		AR312619193323225088	Google	text	Text	94	1	1120000	20000	11900	800
Future Innovation SRL		AR474748779908562944	Google	text	Text	4	1	1120000	110000	61000	1100
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	text	Text	2	1	1100000	110000	30500	550
Partito Democratico		AR254356072167374848	Google	text	Text	26	1	890000	70000	215450	4000
GREEN DAY, s.r.o		AR423241058193768448	Google	text	Text	44	1	890000	50000	4450	250
Freiheitliche Partei Österreich		AR333020356698701824	Google	text	Text	34	1	790000	50000	124200	2300
Varsinais-Suomen Kokoomus ry		AR199136399197208576	Google	text	Text	51	1	780000	30000	9300	750
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	text	Text	58	1	670000	10000	96800	1950
Bündnis90/ Die Grünen		AR207068276079984640	Google	text	Text	24	1	600000	40000	33400	750
European People’s Party		AR308399267695820800	Google	text	Text	30	1	570000	30000	5100	400
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	text	Text	23	1	500000	30000	35150	950
Yhteinen hyvä ry		AR296997332115783680	Google	text	Text	35	1	440000	10000	3550	200
Alternative für Deutschland		AR380456861733748736	Google	text	Text	6	1	420000	40000	1200	100
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	text	Text	31	1	400000	10000	35100	900
KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	text	Text	39	1	390000	0	1950	0
SPD Berlin		AR257142234632159232	Google	text	Text	11	1	380000	30000	2350	200
Petteri Rädyn tukiyhdistys ry		AR427131130332839936	Google	text	Text	10	1	370000	30000	61750	1150
Maailman Paras Pääkaupunki ry		AR221113437613195264	Google	text	Text	17	1	350000	20000	4900	450
