platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	CZ	Czechia	ČSSD	ČSSD	111041662264882	Facebook	1729	1	10842267	2765999	54914	13182
f	Facebook	CZ	Czechia	European Parliament		178362315106	Facebook	94	1	10828464	4930839	51956	16896
f	Facebook	CZ	Czechia	Česká pirátská strana	Česká pirátská strana	109323929038	Facebook	108	1	4413884	1773998	13675	3602
f	Facebook	CZ	Czechia	HLAS	První prezidentská	320144481956623	Facebook	259	1	3439741	862000	6507	1810
f	Facebook	CZ	Czechia	European Commission		107898832590939	Facebook	21	1	3397791	1553897	13098	3123
f	Facebook	CZ	Czechia	ecoFuture & E.ON Energy Globe		104654572907664	Facebook	102	1	2794675	970905	11697	399
f	Facebook	CZ	Czechia	TOP 09	TOP 09	90002267161	Facebook	27	1	2649973	1054000	4786	1414
f	Facebook	CZ	Czechia	Organizace pro pomoc uprchlíkům, z.s.		188235971211201	Facebook	92	1	2601874	621990	1807	470
f	Facebook	CZ	Czechia	Pavel Svoboda	Křesťanská a demokratická unie - Československá strana lidová	1451376028412024	Facebook	97	1	2502903	760000	5580	1364
f	Facebook	CZ	Czechia	Strana nezávislosti České republiky	Strana nezávislosti České republiky	1199083776860090	Facebook	51	1	2291948	888999	7199	1752
f	Facebook	CZ	Czechia	Petr Fiala	ODS - Občanská demokratická strana	487445514669670	Facebook	43	1	2223953	629999	9573	2156
f	Facebook	CZ	Czechia	Gambrinus		146991996743	Facebook	3	1	1999998	900000	14997	3000
f	Facebook	CZ	Czechia	Evropa společně	Evropa společně	535611970260854	Facebook	65	1	1946927	640998	6297	1169
f	Facebook	CZ	Czechia	Kialo		729627343834501	Facebook	355	1	1646557	657854	11049	2691
f	Facebook	CZ	Czechia	Pavel Poc	Poc Pavel	202974613060409	Facebook	19	1	1574981	621000	4215	1158
f	Facebook	CZ	Czechia	Andrej Babiš	ANO	214827221987263	Facebook	5	1	1509992	754998	4762	1165
f	Facebook	CZ	Czechia	Tomáš Zdechovský		275042429350706	Facebook	25	1	1429950	622988	7596	1904
f	Facebook	CZ	Czechia	Ondřej Krutílek - kandidát do Evropského parlamentu		1220066088147062	Facebook	37	1	1257931	334989	6092	1740
f	Facebook	CZ	Czechia	Starostové a nezávislí	Starostové a nezávislí	370583064327	Facebook	16	1	1209981	476998	3753	936
f	Facebook	CZ	Czechia	Kancelář Evropského parlamentu	Kancelář Evropského parlamentu	278212515809	Facebook	22	1	1201972	378999	2066	575
f	Facebook	CZ	Czechia	KDU-ČSL	KDU-ČSL	251656685576	Facebook	54	1	1138884	428987	3001	687
f	Facebook	CZ	Czechia	Jan Zahradil		400970967000022	Facebook	15	1	1079985	351999	4332	983
f	Facebook	CZ	Czechia	Roman Kriz	Kriz Roman	382745889213194	Facebook	128	1	1033872	238000	3644	839
f	Facebook	CZ	Czechia	Daniel Herman		378072105614553	Facebook	10	1	1019932	396975	1149	392
f	Facebook	CZ	Czechia	Talíř do Bruselu	KDU-ČSL	2108659169383946	Facebook	55	1	709938	192998	1602	419
