advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	media_code_filter	media_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU Christlich Demokratische Union		AR68737343799951360	Google	video	Video	381	1	3810000	0	19050	0
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	video	Video	92	1	3080000	240000	4600	0
Liberal Alliance		AR183859784640888832	Google	video	Video	80	1	800000	0	4000	0
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	video	Video	21	1	750000	60000	1050	0
Barcelona en Comú		AR342176264901099520	Google	video	Video	42	1	420000	0	2100	0
Venstres Landsorganisation		AR283015942256984064	Google	video	Video	38	1	380000	0	1900	0
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	video	Video	7	1	250000	20000	350	0
Sloboda a Solidarita		AR242125929453715456	Google	video	Video	20	1	200000	0	1000	0
Open VLD		AR350212320510607360	Google	video	Video	20	1	200000	0	1000	0
Párbeszéd Magyarországért		AR567356246269624320	Google	video	Video	10	1	190000	10000	500	0
COALICION CANARIA		AR489541609348661248	Google	video	Video	18	1	180000	0	900	0
Flamesite s.r.o.		AR522320249995919360	Google	video	Video	18	1	180000	0	900	0
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	video	Video	17	1	170000	0	850	0
KW Prawo i Sprawiedliwość		AR32708546780987392	Google	video	Video	16	1	160000	0	800	0
Avante Comunicación SL		AR486291452976955392	Google	video	Video	14	1	140000	0	700	0
Tampereen Vihreät ry		AR4096230569279488	Google	video	Video	13	1	130000	0	650	0
Suomen Keskusta r.p.		AR441112520191639552	Google	video	Video	12	1	120000	0	600	0
NEA DEMOKRATIA		AR351183464155840512	Google	video	Video	2	1	110000	10000	100	0
Fianna Fáil		AR101183107301900288	Google	video	Video	10	1	100000	0	500	0
Future Innovation SRL		AR474748779908562944	Google	video	Video	1	1	100000	10000	50	0
Socialdemokratiet i Region Midtjylland		AR258908874940088320	Google	video	Video	9	1	90000	0	450	0
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	video	Video	6	1	60000	0	300	0
Socialdemokratiet		AR237678679797268480	Google	video	Video	6	1	60000	0	300	0
Cink, s.r.o.		AR361287976015101952	Google	video	Video	5	1	50000	0	250	0
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	video	Video	5	1	50000	0	250	0
Janika Takatalo		AR113027046556303360	Google	video	Video	4	1	40000	0	200	0
Vapaus ry		AR124593908880506880	Google	video	Video	4	1	40000	0	200	0
Saku Petteri Räty		AR196651502918434816	Google	video	Video	4	1	40000	0	200	0
Socialdemokraterne Aarhus 1. Kreds		AR152882144039927808	Google	video	Video	3	1	30000	0	150	0
SPOLU - občianska demokracia		AR194838133366325248	Google	video	Video	3	1	30000	0	150	0
Morten Dahlin		AR273707476816232448	Google	video	Video	3	1	30000	0	150	0
EUpositive.sk		AR348804120993333248	Google	video	Video	3	1	30000	0	150	0
ADDO DIGITAL IKE		AR15516582969081856	Google	video	Video	2	1	20000	0	100	0
SOCIALDEMOKRATIET		AR271193993235136512	Google	video	Video	2	1	20000	0	100	0
Fondation Populaire		AR320938922932699136	Google	video	Video	2	1	20000	0	100	0
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	video	Video	2	1	20000	0	100	0
Det Konservative Folkeparti		AR40969452518375424	Google	video	Video	2	1	20000	0	100	0
COALICIO COMPROMIS:BLOC-INICIATIVA-VERDS		AR564955737508282368	Google	video	Video	2	1	20000	0	100	0
Ioannis Vardakastanis		AR122780539328397312	Google	video	Video	1	1	10000	0	50	0
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	video	Video	1	1	10000	0	50	0
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	video	Video	1	1	10000	0	50	0
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	video	Video	1	1	10000	0	50	0
Projekt Európa		AR303746959120793600	Google	video	Video	1	1	10000	0	50	0
HLAS		AR312619193323225088	Google	video	Video	1	1	10000	0	50	0
Hämeen Uusi Suunta ry		AR330633591832707072	Google	video	Video	1	1	10000	0	50	0
Kresťanská únia		AR358916054556082176	Google	video	Video	1	1	10000	0	50	0
OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO)		AR392996516970627072	Google	video	Video	1	1	10000	0	50	0
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	video	Video	1	1	10000	0	50	0
Strana nezávislosti České republiky		AR465054111008555008	Google	video	Video	1	1	10000	0	50	0
Partido Socialista Obrero Español de Castilla y León		AR476313110076981248	Google	video	Video	1	1	10000	0	50	0
DOPRAVA		AR56197688563073024	Google	video	Video	1	1	10000	0	50	0
