recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-19	2019-05-19	ES	Spain	1445	111	4273977	1259606	79671	1705
rd2	Last 2 days	2019-05-18	2019-05-19	ES	Spain	1518	119	8480628	2528486	146817	3460
rd3	Last 3 days	2019-05-17	2019-05-19	ES	Spain	1529	124	9488925	2826049	165504	4115
rd4	Last 4 days	2019-05-16	2019-05-19	ES	Spain	1529	124	9488925	2826049	165504	4115
rd5	Last 5 days	2019-05-15	2019-05-19	ES	Spain	1529	124	9488925	2826049	165504	4115
rd6	Last 6 days	2019-05-14	2019-05-19	ES	Spain	1529	124	9488925	2826049	165504	4115
rw1	Last week	2019-05-13	2019-05-19	ES	Spain	1529	124	9488925	2826049	165504	4115
rw2	Last 2 weeks	2019-05-06	2019-05-19	ES	Spain	1529	124	9488925	2826049	165504	4115
rw3	Last 3 weeks	2019-04-29	2019-05-19	ES	Spain	1529	124	9488925	2826049	165504	4115
rw4	Last 4 weeks	2019-04-22	2019-05-19	ES	Spain	1529	124	9488925	2826049	165504	4115
rm1	Last month	2019-04-20	2019-05-19	ES	Spain	1529	124	9488925	2826049	165504	4115
rm2	Last 2 months	2019-03-21	2019-05-19	ES	Spain	1529	124	9488925	2826049	165504	4115
rm3	Last 3 months	2019-02-19	2019-05-19	ES	Spain	1529	124	9488925	2826049	165504	4115
rm6	Last 6 months	2019-01-01	2019-05-19	ES	Spain	1529	124	9488925	2826049	165504	4115
