country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HR	Croatia	m25_34	male (25-34)	2590	700	5959853	2256339	20126	2439
HR	Croatia	m18_24	male (18-24)	2353	635	4801570	1777951	15388	1924
HR	Croatia	f25_34	female (25-34)	2757	713	4627760	1851895	14361	2061
HR	Croatia	m35_44	male (35-44)	2544	685	4326753	1577724	15217	1599
HR	Croatia	f18_24	female (18-24)	2485	645	4067416	1542111	11841	1566
HR	Croatia	f35_44	female (35-44)	2702	695	3848306	1504903	12539	1654
HR	Croatia	m45_54	male (45-54)	2448	657	3280400	1101434	12350	992
HR	Croatia	f45_54	female (45-54)	2599	670	2948600	1055027	10401	1061
HR	Croatia	f55_64	female (55-64)	2026	623	2220291	710197	9016	575
HR	Croatia	m55_64	male (55-64)	1942	614	1829120	558106	7546	368
HR	Croatia	f65_	female (65+)	1768	558	1218541	385546	5318	357
HR	Croatia	m65_	male (65+)	1702	546	1043434	326208	4522	256
HR	Croatia	f13_17	female (13-17)	366	132	246634	90534	479	17
HR	Croatia	m13_17	male (13-17)	340	126	172676	66569	414	18
HR	Croatia	u25_34	unknown (25-34)	2292	619	134132	51325	439	52
HR	Croatia	u35_44	unknown (35-44)	2309	616	107773	39994	389	44
HR	Croatia	u45_54	unknown (45-54)	2068	562	34343	12000	154	14
HR	Croatia	u18_24	unknown (18-24)	1681	488	14625	5431	52	7
HR	Croatia	u65_	unknown (65+)	1346	463	11488	3731	49	3
HR	Croatia	u55_64	unknown (55-64)	1390	495	8694	2763	35	2
HR	Croatia	u13_17	unknown (13-17)	187	93	532	216	1	0
