advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Isamaa erakond	Isamaa erakond	321163977576	Facebook	u35_44	unknown (35-44)	EE	Estonia	9	1	5145	2339	32	7
European Parliament		178362315106	Facebook	u35_44	unknown (35-44)	EE	Estonia	29	1	3915	1706	41	10
Inimõiguste Instituut / Estonian Institute of Human Rights		144333745668266	Facebook	u35_44	unknown (35-44)	EE	Estonia	7	1	3742	1686	8	2
Raimond Kaljulaid	Raimond Kaljulaid	1084372461606422	Facebook	u35_44	unknown (35-44)	EE	Estonia	48	1	3616	1336	35	6
Igor Gräzin	Igor Gräzin	339367456669277	Facebook	u35_44	unknown (35-44)	EE	Estonia	37	1	3232	1361	9	1
Urmas Paet	Paet Urmas	223092011815453	Facebook	u35_44	unknown (35-44)	EE	Estonia	40	1	2986	641	14	0
Sotsiaaldemokraatlik Erakond	Sotsiaaldemokraatlik Erakond	123310201026539	Facebook	u35_44	unknown (35-44)	EE	Estonia	11	1	2978	1367	9	2
Veriff		959442754113350	Facebook	u35_44	unknown (35-44)	EE	Estonia	3	1	2479	1063	3	0
Taavi Rõivas	Roivas Taavi	1033457073332454	Facebook	u35_44	unknown (35-44)	EE	Estonia	33	1	2447	1066	16	2
Anti Poolamets - EKRE kandidaat Europarlamenti	Anti Poolamets	1532805486974348	Facebook	u35_44	unknown (35-44)	EE	Estonia	75	1	2408	589	12	0
European Greens		141366725876424	Facebook	u35_44	unknown (35-44)	EE	Estonia	31	1	1614	680	7	1
Kialo		729627343834501	Facebook	u35_44	unknown (35-44)	EE	Estonia	350	1	1483	567	10	2
Раймонд Кальюлайд	Raimond Kaljulaid	1535510530084119	Facebook	u35_44	unknown (35-44)	EE	Estonia	43	1	964	237	11	0
Jaak Madison	Madison Jaak	536519246456733	Facebook	u35_44	unknown (35-44)	EE	Estonia	14	1	936	298	4	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	u35_44	unknown (35-44)	EE	Estonia	35	1	832	201	4	0
Keskerakond	Keskerakond	161252453921396	Facebook	u35_44	unknown (35-44)	EE	Estonia	12	1	765	314	2	0
Triin Saag	Saag Triin	2012394932389774	Facebook	u35_44	unknown (35-44)	EE	Estonia	23	1	496	154	3	0
Marina Kaljurand	Marina Kaljurand	651496914998204	Facebook	u35_44	unknown (35-44)	EE	Estonia	12	1	470	107	1	0
Reformierakond	Reformierakond	80124492882	Facebook	u35_44	unknown (35-44)	EE	Estonia	3	1	398	79	0	0
Urmas Reinsalu	Isamaa erakond	503635753156660	Facebook	u35_44	unknown (35-44)	EE	Estonia	3	1	289	57	1	0
Pepe Mardiste		1436271733110292	Facebook	u35_44	unknown (35-44)	EE	Estonia	1	1	286	57	0	0
Rimi Eesti		217485440760	Facebook	u35_44	unknown (35-44)	EE	Estonia	1	1	251	126	1	0
Toitumisnõustaja Erik Orgu		592673214085550	Facebook	u35_44	unknown (35-44)	EE	Estonia	2	1	216	82	0	0
Yoko Alender		709212302463805	Facebook	u35_44	unknown (35-44)	EE	Estonia	20	1	193	62	3	0
Социал-демократическая партия	Sotsiaaldemokraatlik Erakond	383403508369488	Facebook	u35_44	unknown (35-44)	EE	Estonia	3	1	178	35	1	0
