audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f25_34	female (25-34)	BE	Belgium	sp.a	sp.a	57253967150	Facebook	279	1	5924822	2503492	26144	5921
f25_34	female (25-34)	BE	Belgium	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	110	1	2601218	1078626	6751	1857
f25_34	female (25-34)	BE	Belgium	Vlaams Belang	Vlaams Belang	56605856504	Facebook	66	1	2239691	1032562	13785	3099
f25_34	female (25-34)	BE	Belgium	European Parliament		178362315106	Facebook	119	1	2011572	885615	14819	3024
f25_34	female (25-34)	BE	Belgium	CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	74	1	1587991	762376	6165	1346
f25_34	female (25-34)	BE	Belgium	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	95	1	1570260	671617	14392	3348
f25_34	female (25-34)	BE	Belgium	Sign for my Future		1345513882259768	Facebook	74	1	1182683	498882	8884	2108
f25_34	female (25-34)	BE	Belgium	IKEA	IKEA	112961202185776	Facebook	38	1	1083931	422631	4190	745
f25_34	female (25-34)	BE	Belgium	Groen	Groen	84920854319	Facebook	132	1	685572	236896	3186	505
f25_34	female (25-34)	BE	Belgium	Facebook Brussels	Facebook	287739491272583	Facebook	16	1	684658	296872	6595	1702
f25_34	female (25-34)	BE	Belgium	Open Vld	Open Vld	53668151866	Facebook	326	1	641563	230611	5253	805
f25_34	female (25-34)	BE	Belgium	Vlaams Belang Brussel	Vlaams Belang	499682940133305	Facebook	60	1	630031	269066	12923	2903
f25_34	female (25-34)	BE	Belgium	Peter Mertens	PVDA	236485149843971	Facebook	424	1	582025	183349	8246	834
f25_34	female (25-34)	BE	Belgium	John Crombez	sp.a	264131406977201	Facebook	80	1	542760	238999	2554	573
f25_34	female (25-34)	BE	Belgium	Wacky Politicians	Ladbrokes Belgium	325449998160769	Facebook	86	1	419630	173808	891	74
f25_34	female (25-34)	BE	Belgium	European Greens	European Greens	141366725876424	Facebook	22	1	331705	145275	2025	563
f25_34	female (25-34)	BE	Belgium	DéFI	DéFI	173518112695794	Facebook	141	1	305673	80202	1556	249
f25_34	female (25-34)	BE	Belgium	Parti Socialiste (PS)	Parti Socialiste (PS)	518402351504731	Facebook	104	1	293513	98011	1498	234
f25_34	female (25-34)	BE	Belgium	European Youth Forum		80161254850	Facebook	2	1	290230	144625	1475	288
f25_34	female (25-34)	BE	Belgium	Party of European Socialists	Party of European Socialists	148097975226385	Facebook	94	1	245651	75535	949	61
f25_34	female (25-34)	BE	Belgium	Kialo		729627343834501	Facebook	366	1	237714	93766	1773	399
f25_34	female (25-34)	BE	Belgium	CD&V	CD&V	52997544531	Facebook	99	1	201187	52632	1522	206
f25_34	female (25-34)	BE	Belgium	VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	67	1	181048	71787	2562	570
f25_34	female (25-34)	BE	Belgium	Tout sur le nucléaire / Alles over kernenergie		585236024850280	Facebook	12	1	176897	76279	620	181
f25_34	female (25-34)	BE	Belgium	L'OCCITANE en Provence		161197393938517	Facebook	5	1	174277	63942	608	207
