advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Future Innovation SRL		AR474748779908562944	Google	rm3	Last 3 months	72	1	519120000	51909999	1035399	18499
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	rm3	Last 3 months	112	1	498010000	49799999	1198400	22249
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	rm3	Last 3 months	259	1	421629999	42089999	770000	16249
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	rm3	Last 3 months	68	1	313699999	31359999	1180000	20450
AMERISOFT SRL		AR573801583431647232	Google	rm3	Last 3 months	219	1	270839999	27030000	85700	2649
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	rm3	Last 3 months	101	1	233029999	23240000	947050	46000
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	rm3	Last 3 months	251	1	193399999	19230000	1157599	22599
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	rm3	Last 3 months	46	1	145810000	14580000	849050	43899
CDU Christlich Demokratische Union		AR68737343799951360	Google	rm3	Last 3 months	11871	1	145169999	2940000	907199	34850
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	rm3	Last 3 months	127	1	129159999	12840000	775349	14750
Partidul Pro Romania		AR116025139887341568	Google	rm3	Last 3 months	181	1	110530000	10969999	207200	5050
SOCIALDEMOKRATIET		AR271193993235136512	Google	rm3	Last 3 months	182	1	105769999	10550000	1754050	32700
Freiheitliche Partei Österreich		AR333020356698701824	Google	rm3	Last 3 months	64	1	103599999	10330000	698849	41250
European Parliament	European Parliament	178362315106	Facebook	rm3	Last 3 months	423	1	90001576	40438000	498376	114099
Det Konservative Folkeparti		AR40969452518375424	Google	rm3	Last 3 months	359	1	86390000	8320000	372599	8300
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	rm3	Last 3 months	143	1	85669999	8510000	416300	8699
COALICION CANARIA		AR489541609348661248	Google	rm3	Last 3 months	5423	1	85460000	3309999	401750	3200
Sloboda a Solidarita		AR242125929453715456	Google	rm3	Last 3 months	578	1	75440000	7139999	189649	6550
KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	rm3	Last 3 months	31	1	74830000	7479999	67299	1650
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	rm3	Last 3 months	155	1	74359999	7360000	45799	1400
NEA DEMOKRATIA		AR351183464155840512	Google	rm3	Last 3 months	52	1	66489999	6640000	373699	7299
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  Zieloni		AR489880258930016256	Google	rm3	Last 3 months	2626	1	66040000	4179999	183300	2950
European Parliament		AR345426421272805376	Google	rm3	Last 3 months	338	1	64850000	6370000	884950	20100
Coalición electoral Barcelona és Capital - Primàries		AR338953321442181120	Google	rm3	Last 3 months	55	1	63010000	6270000	223200	4700
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	rm3	Last 3 months	910	1	61300000	5439999	97050	2899
