advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	rd6	Last 6 days	338	1	65795179	29503166	372795	84833
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	rd6	Last 6 days	5717	1	44720641	12705400	561452	33228
European Commission	European Commission	107898832590939	Facebook	rd6	Last 6 days	93	1	31255770	14581023	99681	25609
European Greens	European Greens	141366725876424	Facebook	rd6	Last 6 days	81	1	26009588	11816333	216455	51516
CDU	CDU	78502295414	Facebook	rd6	Last 6 days	8945	1	24307705	5241835	816960	3571
Fidesz	Fidesz	9844779306	Facebook	rd6	Last 6 days	100	1	20296903	8876000	108887	46658
SPD	SPD	47930567748	Facebook	rd6	Last 6 days	3300	1	19244035	4917999	379285	12916
Avaaz	Avaaz	8340223883	Facebook	rd6	Last 6 days	120	1	17323607	7431714	105593	25159
Best For Britain	Best for Britain	1863944713844924	Facebook	rd6	Last 6 days	90	1	17242910	7176999	132625	29971
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	rd6	Last 6 days	3689	1	17178866	3995850	471018	15222
FDP	FDP	21289227249	Facebook	rd6	Last 6 days	1893	1	16178293	4783888	184163	7336
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	rd6	Last 6 days	222	1	13897311	5688849	207931	50962
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	rd6	Last 6 days	60	1	13172706	5891499	94723	20916
Open Vld	Open Vld	53668151866	Facebook	rd6	Last 6 days	105	1	13011974	5539976	147989	36902
Ciudadanos	Ciudadanos	74078667754	Facebook	rd6	Last 6 days	146	1	12427855	5174000	141055	35259
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	rd6	Last 6 days	59	1	12381940	5434000	75766	19012
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	rd6	Last 6 days	56	1	12047047	5289171	35020	8646
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rd6	Last 6 days	295	1	10396759	4184238	52255	9752
Ciudadanos Andalucía	Ciudadanos	522336804500176	Facebook	rd6	Last 6 days	306	1	10116697	3608600	101716	17780
Moderaterna	Moderaterna	7719591155	Facebook	rd6	Last 6 days	122	1	9605136	3812392	152492	36500
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	rd6	Last 6 days	44	1	9263515	4065488	135341	42921
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rd6	Last 6 days	17	1	9049983	4379999	88483	30600
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	rd6	Last 6 days	108	1	8882503	3813071	26034	11240
CD&V	CD&V	52997544531	Facebook	rd6	Last 6 days	148	1	8699241	3244976	69037	12783
MoVimento 5 Stelle	MoVimento 5 Stelle	174457180812	Facebook	rd6	Last 6 days	19	1	8623164	3972619	39801	9332
