country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
MT	Malta	Roberta Metsola		406824526101449	Facebook	472	1	5326420	1639411	56656	2099
MT	Malta	Alfred Sant	Alfred Sant	537789116260209	Facebook	114	1	4921862	1851989	20985	2699
MT	Malta	David Casa	David Casa	193035580892638	Facebook	89	1	3592463	1014909	12010	800
MT	Malta	Cyrus Engerer	Cyrus Engerer	212468218793878	Facebook	115	1	3243884	978999	13484	799
MT	Malta	Partit Nazzjonalista	Partit Nazzjonalista	159249234115841	Facebook	16	1	3009984	1295000	12284	3000
MT	Malta	Joe Sammut		433245190070343	Facebook	83	1	2872568	1109959	12843	1448
MT	Malta	Josef Caruana		166617437361908	Facebook	67	1	2787880	871983	11832	1299
MT	Malta	European Parliament		178362315106	Facebook	36	1	1761691	742577	6871	901
MT	Malta	Adrian Delia	Partit Nazzjonalista	1442808799090985	Facebook	27	1	1703970	634998	7072	1100
MT	Malta	Alex Agius Saliba	Alex Agius Saliba	656955664383156	Facebook	42	1	1509939	676990	9457	1099
MT	Malta	Francis Zammit Dimech	Francis Zammit Dimech	117406495021568	Facebook	118	1	1447882	331000	11681	0
MT	Malta	PD Martin Cauchi Inglott		181379916072401	Facebook	54	1	1176922	378989	6545	299
MT	Malta	Frank Psaila		458318884361628	Facebook	85	1	1105624	291866	8039	88
MT	Malta	David Stellini	David Stellini	1911257335785088	Facebook	10	1	959990	432000	2990	500
MT	Malta	Miriam Dalli	Miriam Dalli	277980849002904	Facebook	22	1	572978	156000	2578	100
MT	Malta	Kialo		729627343834501	Facebook	354	1	550953	227964	3006	673
MT	Malta	Lorna Vassallo	Lorna Vassallo	690417757823946	Facebook	12	1	544977	180997	1587	100
MT	Malta	European Parliament Office in Malta		116353271736965	Facebook	8	1	529991	232000	1592	200
MT	Malta	Roselyn Borg Knight	Roselyn Borg	446487702156732	Facebook	55	1	470942	154999	5693	0
MT	Malta	Michael Briguglio	Michael Briguglio	1040577706078198	Facebook	102	1	465897	123999	10097	0
MT	Malta	Ian Borg	Ian Borg	151496594943131	Facebook	5	1	399995	169999	495	0
MT	Malta	Lovin Malta	Lovin Malta	1700937210129433	Facebook	6	1	399994	140000	994	100
MT	Malta	Live Communications for MEP Elections May 2019		962042630582450	Facebook	20	1	345980	111000	1980	0
MT	Malta	Noel Cassar		290329184871610	Facebook	7	1	309992	64999	692	0
MT	Malta	Alternattiva Demokratika - The Green Party	Alternattiva Demokratika - The Green Party	309359272432391	Facebook	15	1	309984	67999	1484	0
MT	Malta	Josianne Cutajar		337620233111013	Facebook	14	1	287985	59999	1385	0
MT	Malta	Save the Refugees		1931458237163388	Facebook	67	1	256997	83237	1880	320
MT	Malta	Friends of the Earth Malta	Friends of the Earth Malta	137236009675929	Facebook	12	1	250988	59000	1187	0
MT	Malta	James Grech		1050376408471129	Facebook	12	1	240979	50998	1187	0
MT	Malta	Martin Cauchi Inglott	Martin Cauchi Inglot	1198556280321936	Facebook	4	1	204995	70999	395	0
MT	Malta	MaltaGov		735396419870282	Facebook	1	1	199999	100000	499	100
MT	Malta	Vote16+		149809275605377	Facebook	1	1	199999	100000	99	0
MT	Malta	FŻL - Forum Żgħażagħ Laburisti	FŻL - Forum Żgħażagħ Laburisti	40870184668	Facebook	4	1	199996	40000	396	0
MT	Malta	MEP 2019 Survey		295550891129432	Facebook	4	1	159995	35000	396	0
MT	Malta	Robert Micallef		1080763715431573	Facebook	3	1	149985	29997	275	0
MT	Malta	Stephen Florian -  Politician - Independent Candidate		1317902704932188	Facebook	6	1	139991	39998	593	0
MT	Malta	Robert Micallef for MEP	Robert James Bugeja	2123200014472283	Facebook	9	1	134991	27000	1291	100
MT	Malta	Dr. Anthony Buttigieg	Buttigieg Anthony Emanuel	410157219370162	Facebook	8	1	119992	45000	792	0
MT	Malta	European Election Survey		2273878496161130	Facebook	3	1	109996	25000	296	0
MT	Malta	Ralph Puli: Kap tal-Kunsilliera PN f'Hal Qormi	Ralph Puli	312887412236411	Facebook	22	1	103977	21000	2177	0
