advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	d117	2019-04-27	97	1	9140948	4172444	47918	12899
Romania #nuepsd	Future Innovation	293215748279337	Facebook	d117	2019-04-27	23	1	1594159	732083	1264	598
sp.a	sp.a	57253967150	Facebook	d117	2019-04-27	99	1	1584216	667766	7037	1735
Partido Por un Mundo más Justo · M+J	Partido Por un Mundo más Justo · M+J	147468905314265	Facebook	d117	2019-04-27	3	1	1249998	600000	7498	1500
Partidul Naţional Liberal		181375448581167	Facebook	d117	2019-04-27	11	1	1225592	526904	727	303
România în primul rând	Future Innovation	770704223323599	Facebook	d117	2019-04-27	12	1	1035981	435075	797	208
Kialo		729627343834501	Facebook	d117	2019-04-27	13	1	902489	402500	4463	1126
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	d117	2019-04-27	53	1	773199	324124	2145	440
Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	d117	2019-04-27	18	1	708823	276666	3939	733
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	d117	2019-04-27	91	1	702767	301401	3036	646
FDP	FDP	21289227249	Facebook	d117	2019-04-27	172	1	665393	152846	11201	50
Nemzeti Televízió	Alfahír Hírportál	164061553749320	Facebook	d117	2019-04-27	23	1	635922	271238	1160	379
Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	353868374653514	Facebook	d117	2019-04-27	31	1	598856	265203	1022	223
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	d117	2019-04-27	2	1	533332	216666	139	28
The Labour Party	The Labour Party	25749647410	Facebook	d117	2019-04-27	9	1	513330	221999	4606	1022
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	d117	2019-04-27	159	1	504243	182034	6380	1612
Harald Vilimsky	FPÖ	547597092025909	Facebook	d117	2019-04-27	30	1	389590	173924	3082	829
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	d117	2019-04-27	10	1	367790	154482	5238	1318
SPÖ	SPÖ	77393060080	Facebook	d117	2019-04-27	224	1	359848	124980	2257	294
Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	d117	2019-04-27	45	1	356280	148505	706	157
Vytenis Andriukaitis	Vytenis Andriukaitis	1651554231738028	Facebook	d117	2019-04-27	40	1	356016	161935	513	90
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	d117	2019-04-27	3	1	334831	166666	422	77
kontrast.at	kontrast.at	1079650008770485	Facebook	d117	2019-04-27	16	1	323680	149316	1077	458
Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	d117	2019-04-27	410	1	312664	111314	1340	229
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	d117	2019-04-27	11	1	302821	146768	618	253
