advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	d014	2019-01-14	411	1	1847100	413024	25636	2845
CIWF Italia		576664002355828	Facebook	d014	2019-01-14	4	1	699996	270000	6096	1200
Best For Britain	Best for Britain	1863944713844924	Facebook	d014	2019-01-14	61	1	557084	264551	6428	1413
MDM Deutsche Münze		126866220711392	Facebook	d014	2019-01-14	2	1	549998	210000	598	100
The Labour Party	The Labour Party	25749647410	Facebook	d014	2019-01-14	5	1	533331	233333	1926	964
We are the 52%	We are the 52%	466744973727718	Facebook	d014	2019-01-14	20	1	433181	136896	1124	97
People's Vote UK	People's Vote	748608695327755	Facebook	d014	2019-01-14	58	1	249326	89062	3251	631
Stop Cambio Climático		124967441456981	Facebook	d014	2019-01-14	5	1	241943	117277	565	111
Greenpeace Greece	Greenpeace Greece	31324524225	Facebook	d014	2019-01-14	1	1	199999	100000	499	100
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	d014	2019-01-14	18	1	137191	29962	1621	3
Plan International Sverige		382243262003	Facebook	d014	2019-01-14	63	1	136891	54499	1285	331
The Week UK	The Week	177855115588808	Facebook	d014	2019-01-14	20	1	109980	23000	2291	0
Roberta Metsola		406824526101449	Facebook	d014	2019-01-14	7	1	100553	34972	815	123
Hoxton Capital Management		353185345195139	Facebook	d014	2019-01-14	1	1	99999	50000	577	115
38 Degrees	38 Degrees	200006375787	Facebook	d014	2019-01-14	8	1	90023	36040	566	110
Alex Salmond	Slainte Media	136191876445102	Facebook	d014	2019-01-14	2	1	83332	41666	249	38
350.org		12185972707	Facebook	d014	2019-01-14	10	1	80831	17916	272	22
More United	More United	618113871680733	Facebook	d014	2019-01-14	1	1	71428	28571	826	165
InFacts	InFacts	678120165658753	Facebook	d014	2019-01-14	10	1	63748	14625	286	14
London Labour Party	The London Labour Party 	474613052643462	Facebook	d014	2019-01-14	7	1	60249	22916	280	76
Better Brexit	Better Brexit	456823584822825	Facebook	d014	2019-01-14	2	1	58332	21666	249	38
Impôt et Solutions.fr		190645890956184	Facebook	d014	2019-01-14	2	1	54998	11000	598	100
Martynas Nagevičius / LRLS Sostinės liberalai		1146633232128220	Facebook	d014	2019-01-14	13	1	52360	11315	338	34
Trades Union Congress (TUC)	Trades Union Congress	124295177616347	Facebook	d014	2019-01-14	3	1	50124	25000	303	144
Noah and Jordan: Comedy Duo		915323881890928	Facebook	d014	2019-01-14	1	1	49999	25000	144	28
