advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Urmas Paet	Paet Urmas	223092011815453	Facebook	m55_64	male (55-64)	EE	Estonia	19	1	30578	7017	299	52
European Parliament	European Parliament	178362315106	Facebook	m55_64	male (55-64)	EE	Estonia	15	1	26157	9578	152	25
Anti Poolamets - EKRE kandidaat Europarlamenti	Anti Poolamets	1532805486974348	Facebook	m55_64	male (55-64)	EE	Estonia	49	1	21033	4439	332	13
Raimond Kaljulaid	Raimond Kaljulaid	1084372461606422	Facebook	m55_64	male (55-64)	EE	Estonia	20	1	18036	4021	130	17
Igor Gräzin	Igor Gräzin	339367456669277	Facebook	m55_64	male (55-64)	EE	Estonia	12	1	17695	3539	41	0
Раймонд Кальюлайд	Raimond Kaljulaid	1535510530084119	Facebook	m55_64	male (55-64)	EE	Estonia	31	1	17574	5480	133	22
Taavi Rõivas	Roivas Taavi	1033457073332454	Facebook	m55_64	male (55-64)	EE	Estonia	8	1	8761	2176	56	4
Isamaa erakond	Isamaa erakond	321163977576	Facebook	m55_64	male (55-64)	EE	Estonia	14	1	8559	2826	64	4
Reformierakond	Reformierakond	80124492882	Facebook	m55_64	male (55-64)	EE	Estonia	4	1	7919	2044	78	12
Marina Kaljurand	Marina Kaljurand	651496914998204	Facebook	m55_64	male (55-64)	EE	Estonia	7	1	6670	2056	54	6
Sotsiaaldemokraatlik Erakond	Sotsiaaldemokraatlik Erakond	123310201026539	Facebook	m55_64	male (55-64)	EE	Estonia	7	1	6553	1307	24	2
European Commission	European Commission	107898832590939	Facebook	m55_64	male (55-64)	EE	Estonia	11	1	5103	2473	28	4
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	m55_64	male (55-64)	EE	Estonia	16	1	4653	868	48	0
Urmas Reinsalu	Isamaa erakond	503635753156660	Facebook	m55_64	male (55-64)	EE	Estonia	3	1	3551	1353	13	2
Партия Реформ	Reformierakond	243365865708649	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	2582	516	25	5
Kõigi Eesti		432490497520356	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	2547	509	25	5
Airis Meier Page	Reformierakond	250646808998831	Facebook	m55_64	male (55-64)	EE	Estonia	3	1	2297	459	7	0
Eesti Konservatiivne Rahvaerakond	Eesti Konservatiivne Rahvaerakond	671308106236480	Facebook	m55_64	male (55-64)	EE	Estonia	3	1	1846	369	6	0
Betsafe Eesti		465223740333842	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	1423	284	2	0
YanaToom.ee	Toom Yana	2367048563336709	Facebook	m55_64	male (55-64)	EE	Estonia	4	1	1344	259	30	0
Jaak Madison	Madison Jaak	536519246456733	Facebook	m55_64	male (55-64)	EE	Estonia	2	1	1144	447	8	0
Kalle Palling	Reformierakond	100991613317228	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	696	139	6	1
Социал-демократическая партия	Sotsiaaldemokraatlik Erakond	383403508369488	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	432	216	4	0
Марина Кальюранд		1819805324767935	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	363	72	7	0
Riho Terras	Isamaa erakond	2217643278496367	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	296	59	0	0
Triin Saag	Saag Triin	2012394932389774	Facebook	m55_64	male (55-64)	EE	Estonia	3	1	262	38	10	0
ALDE Party – Liberals and Democrats for Europe	ALDE Party – Liberals and Democrats for Europe	262681199589	Facebook	m55_64	male (55-64)	EE	Estonia	3	1	150	73	0	0
Katrin Kuusemäe	Reformierakond	148344165738189	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	142	28	2	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	124	62	0	0
Muhoov		1796563930414245	Facebook	m55_64	male (55-64)	EE	Estonia	2	1	89	16	2	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	m55_64	male (55-64)	EE	Estonia	5	1	35	13	0	0
Europe Thinx		335839580440114	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	25	5	0	0
Alliance of Conservatives and Reformists in Europe	ACRE 	134931073377586	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	20	4	0	0
ETUC		129041250601685	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	7	1	0	0
Vote for a Woman / Stem op een Vrouw		1329572193784367	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	7	1	0	0
Eurozine		115579498521257	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	4	0	0	0
Big News Buzz		125179374733697	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	1	0	0	0
Jaunā Vienotība	Partiju apvienība “Jaunā Vienotība”	164326166970895	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	1	0	0	0
Niko Eskelinen poliitikko	Eskelinen Niko Olavi	1337176579662419	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	0	0	0	0
Nils Torvalds	Nils Torvalds	343089085765596	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	0	0	0	0
Fatim Diarra	Fatim Diarra	1357638954294467	Facebook	m55_64	male (55-64)	EE	Estonia	2	1	0	0	0	0
ITUC		20556338116	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	0	0	0	0
Justice for Daphne Caruana Galizia		245601565462724	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	0	0	0	0
Tomi Kontkanen	Finlands svenska socialdemokrater	2211545855568908	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	0	0	0	0
The Years Project	The Years Project	168876449866088	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	0	0	0	0
MN Benito		1273446302821491	Facebook	m55_64	male (55-64)	EE	Estonia	1	1	0	0	0	0
