advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	w019	Week 19	83	1	22135346	10242992	133425	34258
CDU	CDU	78502295414	Facebook	w019	Week 19	3170	1	19323915	4637500	173515	4150
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	w019	Week 19	361	1	15433505	6260862	71608	13212
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	w019	Week 19	106	1	14944396	6554444	34899	7366
România în primul rând	Future Innovation	770704223323599	Facebook	w019	Week 19	54	1	13695058	6210595	14680	3439
FDP	FDP	21289227249	Facebook	w019	Week 19	1359	1	12733960	3878357	122641	6328
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	w019	Week 19	103	1	12730290	5282213	38373	9300
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	w019	Week 19	36	1	9222549	4008037	18691	4741
sp.a	sp.a	57253967150	Facebook	w019	Week 19	209	1	8776144	2965721	41777	6762
European Greens	European Greens	141366725876424	Facebook	w019	Week 19	41	1	8136287	3648050	54039	13320
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	w019	Week 19	51	1	8072787	3355166	11187	1666
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	w019	Week 19	24	1	7974951	3725401	14126	5777
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	w019	Week 19	768	1	7841818	2708221	104731	13756
Partito Democratico		77034286895	Facebook	w019	Week 19	79	1	7724400	3373672	25803	5000
SPD	SPD	47930567748	Facebook	w019	Week 19	2456	1	7591777	1414657	256187	3595
SPÖ	SPÖ	77393060080	Facebook	w019	Week 19	569	1	7589942	2487520	61030	8392
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	w019	Week 19	59	1	7586377	3301340	15665	4223
Fidesz	Fidesz	9844779306	Facebook	w019	Week 19	43	1	7299958	3505000	25690	12690
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	w019	Week 19	335	1	6615611	2134512	47567	8038
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	w019	Week 19	15	1	5974991	2745833	22074	5466
Parlement européen en France	Parlement européen en France	279757933824	Facebook	w019	Week 19	72	1	5887942	2304000	23622	6240
Open Vld	Open Vld	53668151866	Facebook	w019	Week 19	274	1	5811461	2074283	44342	7027
Vlaams Belang	Vlaams Belang	56605856504	Facebook	w019	Week 19	16	1	5735402	2602708	36412	7985
Save the Children España	Save the Children España	57845333112	Facebook	w019	Week 19	16	1	5659984	2585000	30284	6600
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	w019	Week 19	96	1	5314707	2511280	25089	4570
