age_code_filter	age_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
35_44	35-44	CY	Cyprus	European Parliament		178362315106	Facebook	13	1	716824	327053	4266	837
35_44	35-44	CY	Cyprus	ΑΚΕΛ - AKEL	ΑΚΕΛ - AKEL	117799504920552	Facebook	80	1	476211	146413	1577	52
35_44	35-44	CY	Cyprus	Στηρίζουμε Μαρίνο Κλεάνθους για την Ευρωβουλή		831939610501208	Facebook	28	1	412601	142935	1582	194
35_44	35-44	CY	Cyprus	European Parliament Office in Cyprus		205478755729	Facebook	5	1	268751	131967	1318	260
35_44	35-44	CY	Cyprus	Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ	EDEK	489124984493054	Facebook	65	1	249089	52303	1247	0
35_44	35-44	CY	Cyprus	Nicos Tornaritis - Νίκος Τορναρίτης	Nicos Tornaritis - Νίκος Τορναρίτης	115653995162093	Facebook	21	1	210512	50084	448	0
35_44	35-44	CY	Cyprus	Λευτέρης Χριστοφόρου - Lefteris Christoforou		832972046731724	Facebook	48	1	173616	37236	760	0
35_44	35-44	CY	Cyprus	Prof. Dr. Niyazi Kızılyürek	Niyazi Kızılyürek	878208312216203	Facebook	22	1	170883	69998	572	59
35_44	35-44	CY	Cyprus	Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou		270213387069072	Facebook	18	1	166994	36908	537	0
35_44	35-44	CY	Cyprus	Costas Mavrides - Κώστας Μαυρίδης	Costas Mavrides - Κώστας Μαυρίδης	197874087030899	Facebook	19	1	125588	34465	320	11
35_44	35-44	CY	Cyprus	γυρίζουμε		278308089460720	Facebook	6	1	107578	47277	738	170
35_44	35-44	CY	Cyprus	Δημήτρης Παπαδάκης	Δημήτρης Παπαδάκης - Demetris Papadakis	1406872809567447	Facebook	11	1	98994	20940	275	0
35_44	35-44	CY	Cyprus	Νικόλας Παπαδόπουλος	Μανωλης Κυριακου	998046016880140	Facebook	28	1	98899	22640	518	0
35_44	35-44	CY	Cyprus	Παναγιώτης Σεντώνας - Panayiotis Sentonas		436419753766608	Facebook	16	1	97747	22108	478	0
35_44	35-44	CY	Cyprus	Δημοκρατικό Κόμμα	Constantinos Georgallides	293704380825571	Facebook	38	1	87328	23977	596	0
35_44	35-44	CY	Cyprus	Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS		46620712083	Facebook	23	1	83903	18351	431	0
35_44	35-44	CY	Cyprus	UK-Cyprus Enterprise Council	UK-Cyprus Enterprise Council 	1837120569879342	Facebook	7	1	83457	36507	148	8
35_44	35-44	CY	Cyprus	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	5	1	75926	32225	573	111
35_44	35-44	CY	Cyprus	AKEL Türkçe	ΑΚΕΛ - AKEL	811609932267686	Facebook	6	1	75021	32635	217	17
35_44	35-44	CY	Cyprus	Κόμμα Δικαιοσύνης - ΟΑΔ	Michael Minas	404386316397983	Facebook	9	1	58007	15984	142	0
35_44	35-44	CY	Cyprus	Παρατηρητήριο Τρίτης Ηλικίας Κύπρου		1788557328061678	Facebook	4	1	56975	20145	200	29
35_44	35-44	CY	Cyprus	Δημοκρατικός Συναγερμός	Δημοκρατικός Συναγερμός	64330641883	Facebook	13	1	46435	12193	208	0
35_44	35-44	CY	Cyprus	Power Beach		484571345318227	Facebook	1	1	41791	20895	20	0
35_44	35-44	CY	Cyprus	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	10	1	36086	14527	59	11
35_44	35-44	CY	Cyprus	Dr. Eleni Stavrou		822417261217421	Facebook	6	1	34020	8805	120	0
