advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
sp.a	sp.a	57253967150	Facebook	rm3	Last 3 months	BE	Belgium	420	1	40921876	16310651	193780	41799
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rm3	Last 3 months	BE	Belgium	118	1	28187631	11692896	85579	22298
Vlaams Belang	Vlaams Belang	56605856504	Facebook	rm3	Last 3 months	BE	Belgium	65	1	25925934	11908000	171935	38200
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	rm3	Last 3 months	BE	Belgium	93	1	22548867	9714983	198906	45499
European Parliament		178362315106	Facebook	rm3	Last 3 months	BE	Belgium	168	1	16215405	6897002	112878	24712
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	rm3	Last 3 months	BE	Belgium	114	1	11643963	5531538	45181	9299
Open Vld	Open Vld	53668151866	Facebook	rm3	Last 3 months	BE	Belgium	346	1	10265006	3725823	80749	13699
Sign for my Future		1345513882259768	Facebook	rm3	Last 3 months	BE	Belgium	75	1	8702926	3652000	64225	14600
Groen	Groen	84920854319	Facebook	rm3	Last 3 months	BE	Belgium	177	1	7663069	2705422	36909	5399
Peter Mertens	PVDA	236485149843971	Facebook	rm3	Last 3 months	BE	Belgium	573	1	7064036	2054048	84329	8287
John Crombez	sp.a	264131406977201	Facebook	rm3	Last 3 months	BE	Belgium	85	1	6938914	2755999	41414	8299
Facebook Brussels	Facebook	287739491272583	Facebook	rm3	Last 3 months	BE	Belgium	16	1	6549984	2830000	63484	16300
Vlaams Belang Brussel	Vlaams Belang	499682940133305	Facebook	rm3	Last 3 months	BE	Belgium	72	1	5592734	2270996	107210	24499
VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	rm3	Last 3 months	BE	Belgium	131	1	4951784	1765978	57166	12899
IKEA	IKEA	112961202185776	Facebook	rm3	Last 3 months	BE	Belgium	78	1	4840907	1800993	18421	3499
Wacky Politicians	Ladbrokes Belgium	325449998160769	Facebook	rm3	Last 3 months	BE	Belgium	87	1	4241912	1638999	11013	599
Parti Socialiste (PS)	Parti Socialiste (PS)	518402351504731	Facebook	rm3	Last 3 months	BE	Belgium	107	1	4231193	1375497	27378	4797
DéFI	DéFI	173518112695794	Facebook	rm3	Last 3 months	BE	Belgium	149	1	3880629	951943	22849	2299
Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	rm3	Last 3 months	BE	Belgium	14	1	3049818	1329962	15484	5499
CD&V	CD&V	52997544531	Facebook	rm3	Last 3 months	BE	Belgium	101	1	2594894	805997	18898	2500
Tout sur le nucléaire / Alles over kernenergie		585236024850280	Facebook	rm3	Last 3 months	BE	Belgium	13	1	2404966	990992	11586	2899
European Greens	European Greens	141366725876424	Facebook	rm3	Last 3 months	BE	Belgium	22	1	2323588	1010604	15214	3812
Kialo		729627343834501	Facebook	rm3	Last 3 months	BE	Belgium	284	1	2071097	822668	14735	3271
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	rm3	Last 3 months	BE	Belgium	83	1	1968165	621576	6516	325
Mutualité chrétienne (MC)	Mutualité chrétienne (MC)	180233078762668	Facebook	rm3	Last 3 months	BE	Belgium	61	1	1779938	533999	9838	1499
