advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AMERISOFT SRL		AR573801583431647232	Google	0_50	0 - 50	189	1	47838532	4739421	7775	0
COALICION CANARIA		AR489541609348661248	Google	0_50	0 - 50	4748	1	47509406	921554	195336	0
CDU Christlich Demokratische Union		AR68737343799951360	Google	0_50	0 - 50	4283	1	35241216	0	176206	0
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	0_50	0 - 50	176	1	35068425	3480512	7240	0
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	0_50	0 - 50	876	1	26387714	2065268	36039	0
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	0_50	0 - 50	1997	1	23688877	798131	82158	0
mmb media agentur d.o.o.		AR524572049809604608	Google	0_50	0 - 50	1441	1	19928607	855728	59283	0
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	0_50	0 - 50	134	1	16061371	1546894	5512	0
Slovenska demokratska stranka		AR170068335415787520	Google	0_50	0 - 50	42	1	13749258	1365874	1727	0
CDU	CDU	78502295414	Facebook	0_50	0 - 50	4999	1	13295488	2317763	493360	0
HLAS		AR312619193323225088	Google	0_50	0 - 50	860	1	13000495	641796	35381	0
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	0_50	0 - 50	307	1	11634620	987379	12630	0
Mediabrands Digital OÜ		AR530356305605427200	Google	0_50	0 - 50	339	1	10713066	872185	13946	0
Partido Popular Regional De Canarias		AR288284801977286656	Google	0_50	0 - 50	132	1	10120639	954466	5430	0
KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	0_50	0 - 50	22	1	8845273	880413	905	0
CDA Doetinchem		AR453512812329697280	Google	0_50	0 - 50	49	1	8400953	822816	2015	0
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	0_50	0 - 50	25	1	8277530	822816	1028	0
Sloboda a Solidarita		AR242125929453715456	Google	0_50	0 - 50	195	1	8195249	691165	8022	0
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	0_50	0 - 50	191	1	7866122	674709	7857	0
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	0_50	0 - 50	111	1	7504083	691165	4566	0
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	0_50	0 - 50	125	1	6286315	559515	5142	0
Pametno		AR222880077921124352	Google	0_50	0 - 50	42	1	5825538	567743	1727	0
Open Vld		AR369049153717665792	Google	0_50	0 - 50	347	1	5521096	296213	14275	0
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	0_50	0 - 50	69	1	4714736	436092	2838	0
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	0_50	0 - 50	29	1	3867236	378495	1193	0
