day_code_filter	day_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d133	2019-05-13	European Greens		141366725876424	Facebook	70	1	4290711	1975357	25656	6719
d133	2019-05-13	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	105	1	3590876	1543652	6104	1376
d133	2019-05-13	FDP	FDP	21289227249	Facebook	1356	1	2608751	766342	27866	1284
d133	2019-05-13	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	355	1	2584570	1079554	12208	2270
d133	2019-05-13	Partito Democratico		77034286895	Facebook	127	1	2047188	877749	7580	1323
d133	2019-05-13	MSZP	MSZP	115388925185513	Facebook	39	1	2002145	804666	2565	1030
d133	2019-05-13	România în primul rând	Future Innovation	770704223323599	Facebook	35	1	1993807	879541	1722	468
d133	2019-05-13	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	113	1	1858250	767658	6567	1641
d133	2019-05-13	BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	329	1	1779483	568535	13093	1906
d133	2019-05-13	sp.a	sp.a	57253967150	Facebook	210	1	1746150	623902	7681	1265
d133	2019-05-13	Parlement européen en France	Parlement européen en France	279757933824	Facebook	72	1	1625704	666428	8718	2085
d133	2019-05-13	SPÖ	SPÖ	77393060080	Facebook	544	1	1558851	529138	12707	2008
d133	2019-05-13	Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	63	1	1382302	633666	4381	1450
d133	2019-05-13	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	21	1	1379908	612179	4749	1151
d133	2019-05-13	Kialo		729627343834501	Facebook	36	1	1299966	290000	5766	600
d133	2019-05-13	Sign for my Future	Sign for my Future	1345513882259768	Facebook	59	1	1262985	517166	11302	3066
d133	2019-05-13	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	759	1	1217486	381274	17367	2282
d133	2019-05-13	Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	7	1	1170830	483333	2238	650
d133	2019-05-13	LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	35	1	1109039	498853	813	201
d133	2019-05-13	Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	11	1	1078895	414285	2295	614
d133	2019-05-13	Open Vld	Open Vld	53668151866	Facebook	179	1	1049939	423750	6086	1445
d133	2019-05-13	Vlaams Belang	Vlaams Belang	56605856504	Facebook	5	1	1029409	464705	3644	1129
d133	2019-05-13	Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	64	1	1016664	399595	1832	683
d133	2019-05-13	Kyriakos Mitsotakis		34848567724	Facebook	23	1	1003325	384666	1625	350
d133	2019-05-13	Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	9	1	992259	426488	2798	935
d133	2019-05-13	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	131	1	985810	318000	3010	261
d133	2019-05-13	ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	15	1	982495	444833	1378	363
d133	2019-05-13	Fidesz	Fidesz	9844779306	Facebook	6	1	949996	450000	2940	1392
d133	2019-05-13	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	30	1	929331	413201	1593	425
d133	2019-05-13	PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	13	1	898211	403928	1311	390
d133	2019-05-13	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	10	1	890474	410000	1953	890
d133	2019-05-13	SPD	SPD	47930567748	Facebook	523	1	884443	102710	50738	182
d133	2019-05-13	Centerpartiet	Centerpartiet	12690894340	Facebook	173	1	849833	301555	10356	2608
d133	2019-05-13	Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	25	1	835112	372547	5651	1509
