advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rm6	Last 6 months	HR	Croatia	54	1	8291742	3784750	25468	5861
SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	rm6	Last 6 months	HR	Croatia	68	1	6108723	2689898	8089	478
Valter Flego	Valter Flego	441675022557503	Facebook	rm6	Last 6 months	HR	Croatia	78	1	3825514	1100850	11276	1334
European Greens		141366725876424	Facebook	rm6	Last 6 months	HR	Croatia	32	1	3324420	1389868	8420	2220
Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	rm6	Last 6 months	HR	Croatia	36	1	2435964	830000	6109	979
Građani za Mislava Kolakušića	Kolakusic Mislav	374159272978399	Facebook	rm6	Last 6 months	HR	Croatia	28	1	1961507	663800	3364	177
MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	rm6	Last 6 months	HR	Croatia	45	1	1933954	709999	6101	534
pametno.org	pametno.org	144815235686385	Facebook	rm6	Last 6 months	HR	Croatia	28	1	1769340	696800	2876	88
Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	rm6	Last 6 months	HR	Croatia	75	1	1458925	384000	7302	89
Hrvatska narodna stranka - liberalni demokrati (HNS)	Hrvatska narodna stranka - liberalni demokrati (HNS)	139606619434725	Facebook	rm6	Last 6 months	HR	Croatia	21	1	1359047	424622	3458	377
Kialo		729627343834501	Facebook	rm6	Last 6 months	HR	Croatia	259	1	1316861	552740	5268	1312
Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	rm6	Last 6 months	HR	Croatia	27	1	1231973	312000	3803	356
Ruža Tomašić		1434305366791182	Facebook	rm6	Last 6 months	HR	Croatia	28	1	1113497	294705	2625	0
GLAS Građansko-liberalni savez	GLAS Građansko-liberalni savez	231052047413325	Facebook	rm6	Last 6 months	HR	Croatia	13	1	1015986	335999	2213	267
Eclectica		1379977375431894	Facebook	rm6	Last 6 months	HR	Croatia	1	1	999999	500000	4449	890
Dr. sc. Tomislav Sokol	HDZ - Hrvatska demokratska zajednica	136900153422435	Facebook	rm6	Last 6 months	HR	Croatia	11	1	614989	186000	1412	89
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	rm6	Last 6 months	HR	Croatia	39	1	609610	285595	1426	404
Zoran Bahtijarević		2195720960680577	Facebook	rm6	Last 6 months	HR	Croatia	4	1	549841	259922	1595	299
Ivana Nikolić Popović	Nikolić Popović Ivana	160505204050427	Facebook	rm6	Last 6 months	HR	Croatia	16	1	504984	140000	1431	0
Bandić Milan 365 - Stranka rada i solidarnosti		350640391803012	Facebook	rm6	Last 6 months	HR	Croatia	1	1	499996	199999	444	89
Stjepan Ribić	HDZ - Hrvatska demokratska zajednica	451335681696047	Facebook	rm6	Last 6 months	HR	Croatia	16	1	481007	203511	2174	177
Jozo Radoš	Jozo Radoš	446717938731095	Facebook	rm6	Last 6 months	HR	Croatia	22	1	478973	109999	3636	389
Greenpeace Hrvatska	Greenpeace Hrvatska	359170097532754	Facebook	rm6	Last 6 months	HR	Croatia	10	1	465989	152999	1237	89
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rm6	Last 6 months	HR	Croatia	25	1	455621	116904	1003	19
Europski parlament, Ured za informiranje u Republici Hrvatskoj	Europski parlament, Ured za informiranje u Republici Hrvatskoj	508795765833382	Facebook	rm6	Last 6 months	HR	Croatia	28	1	424971	131999	2695	0
