country_code_filter	country_name_filter	day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SE	Sweden	d133	2019-05-13	1565	286	4377283	1348231	39131	9525
SE	Sweden	d132	2019-05-12	1701	320	5183481	1559396	46724	11585
SE	Sweden	d131	2019-05-11	1716	325	4894265	1526112	45333	11533
SE	Sweden	d130	2019-05-10	1766	321	6147348	1999855	60856	14672
SE	Sweden	d129	2019-05-09	1661	296	5914446	1932685	60589	17306
SE	Sweden	d128	2019-05-08	1505	275	4878767	1606031	49041	11152
SE	Sweden	d127	2019-05-07	1400	248	3593037	1122477	30354	7146
SE	Sweden	d126	2019-05-06	1277	248	3018993	925268	24110	5873
SE	Sweden	d125	2019-05-05	1212	247	3373341	1122498	26417	6274
SE	Sweden	d124	2019-05-04	1156	246	3238665	1074940	25037	5912
SE	Sweden	d123	2019-05-03	1224	258	3876868	1310942	26425	6654
SE	Sweden	d122	2019-05-02	1000	246	2027013	697460	15112	3653
SE	Sweden	d121	2019-05-01	882	252	1458261	460348	12210	3200
SE	Sweden	d120	2019-04-30	1106	273	1769652	560794	14469	3733
SE	Sweden	d119	2019-04-29	1115	261	1702708	536358	13664	3574
SE	Sweden	d118	2019-04-28	1009	249	1279756	440776	10804	2917
SE	Sweden	d117	2019-04-27	979	241	1125534	385389	9501	2447
SE	Sweden	d116	2019-04-26	1044	253	1202357	397784	9784	2457
SE	Sweden	d115	2019-04-25	936	253	847119	283111	7913	1965
SE	Sweden	d114	2019-04-24	862	239	692896	228560	5919	1520
SE	Sweden	d113	2019-04-23	874	247	1027064	361310	6856	1674
SE	Sweden	d112	2019-04-22	839	241	604344	216083	4545	1217
SE	Sweden	d111	2019-04-21	877	252	840550	302135	6328	1732
SE	Sweden	d110	2019-04-20	880	263	967284	355940	6909	1942
SE	Sweden	d109	2019-04-19	910	274	859643	304926	5904	1538
SE	Sweden	d108	2019-04-18	927	287	826137	289287	5679	1481
SE	Sweden	d107	2019-04-17	939	307	832020	294357	5897	1515
SE	Sweden	d106	2019-04-16	1001	326	863790	286721	7215	1804
SE	Sweden	d105	2019-04-15	1094	357	2643681	1007243	15117	4408
SE	Sweden	d104	2019-04-14	1127	375	1211112	409431	9708	2445
