advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
γυρίζουμε		278308089460720	Facebook	d078	2019-03-19	CY	Cyprus	2	1	27705	12011	207	41
UK-Cyprus Enterprise Council	UK-Cyprus Enterprise Council 	1837120569879342	Facebook	d078	2019-03-19	CY	Cyprus	3	1	26806	13403	30	0
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	d078	2019-03-19	CY	Cyprus	4	1	23938	9869	199	38
Στηρίζουμε Μαρίνο Κλεάνθους για την Ευρωβουλή		831939610501208	Facebook	d078	2019-03-19	CY	Cyprus	3	1	18710	7992	124	21
Power Beach		484571345318227	Facebook	d078	2019-03-19	CY	Cyprus	1	1	18135	9067	8	0
AB Bilgi Merkezi		583529045116711	Facebook	d078	2019-03-19	CY	Cyprus	1	1	16656	3331	32	0
Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou		270213387069072	Facebook	d078	2019-03-19	CY	Cyprus	1	1	7142	1428	14	0
Κίνημα Οικολόγων - Συνεργασία Πολιτών		406404342873724	Facebook	d078	2019-03-19	CY	Cyprus	1	1	6249	1250	12	0
Living and Working Abroad		134381223370615	Facebook	d078	2019-03-19	CY	Cyprus	1	1	4996	2498	44	0
Yiannos Lakkotrypis		750357328668972	Facebook	d078	2019-03-19	CY	Cyprus	1	1	4545	909	8	0
Γραφείο Τύπου και Πληροφοριών - Press and Information Office		620027974738907	Facebook	d078	2019-03-19	CY	Cyprus	2	1	4186	2041	20	4
Union of Cypriots - Kıbrıslılar Birliği - Ένωσις Κυπρίων		2000341880290773	Facebook	d078	2019-03-19	CY	Cyprus	2	1	3700	740	5	1
RZT Capital		1917364628557349	Facebook	d078	2019-03-19	CY	Cyprus	1	1	2496	499	49	0
Ομάδα Ενημέρωσης		529197344248343	Facebook	d078	2019-03-19	CY	Cyprus	3	1	2158	806	30	0
VoteWatch Europe		355087424564148	Facebook	d078	2019-03-19	CY	Cyprus	3	1	2096	824	3	1
Council of the European Union		147547541961576	Facebook	d078	2019-03-19	CY	Cyprus	3	1	2011	932	6	1
Παναγιώτης Σεντώνας - Panayiotis Sentonas		436419753766608	Facebook	d078	2019-03-19	CY	Cyprus	1	1	1666	333	33	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d078	2019-03-19	CY	Cyprus	3	1	1389	588	10	2
European Commission - Development & Cooperation - EuropeAid		287842647957979	Facebook	d078	2019-03-19	CY	Cyprus	4	1	916	394	0	0
We Amplify		186008238755917	Facebook	d078	2019-03-19	CY	Cyprus	2	1	647	129	1	0
Stichting Syrische Vrijwilligers Nederland - SYVNL		537188923095240	Facebook	d078	2019-03-19	CY	Cyprus	1	1	476	95	9	0
ETUC		129041250601685	Facebook	d078	2019-03-19	CY	Cyprus	1	1	305	152	0	0
Ομολατρεία		294836014540901	Facebook	d078	2019-03-19	CY	Cyprus	3	1	172	39	1	0
Ιακώβου Βάκης		332523037613071	Facebook	d078	2019-03-19	CY	Cyprus	1	1	124	0	12	0
Hippie Souls - Amzitee		350097562443914	Facebook	d078	2019-03-19	CY	Cyprus	2	1	75	14	0	0
АллатРа ТВ		468944153190776	Facebook	d078	2019-03-19	CY	Cyprus	22	1	55	26	0	0
Kleopatra Sidiropoulou Υποψήφια Ευρωεκλογών με το Ποτάμι		272999270266817	Facebook	d078	2019-03-19	CY	Cyprus	1	1	54	10	1	0
Stonewall		18933990398	Facebook	d078	2019-03-19	CY	Cyprus	1	1	36	7	0	0
Raseef22  رصيفــ22		359500190793796	Facebook	d078	2019-03-19	CY	Cyprus	1	1	22	11	0	0
TransformingTransport		1635700990066863	Facebook	d078	2019-03-19	CY	Cyprus	1	1	21	4	0	0
مفوضية اللاجئين		188842724507690	Facebook	d078	2019-03-19	CY	Cyprus	19	1	20	3	0	0
Roposo - TV By The People		574950735891850	Facebook	d078	2019-03-19	CY	Cyprus	1	1	18	9	0	0
Equilibre des énergies		154645694605913	Facebook	d078	2019-03-19	CY	Cyprus	1	1	17	3	0	0
Soviet Visuals		1160495674016675	Facebook	d078	2019-03-19	CY	Cyprus	4	1	16	3	0	0
Airinum		867962259958927	Facebook	d078	2019-03-19	CY	Cyprus	1	1	15	3	0	0
Girlsintrendy_Global		1088687591333663	Facebook	d078	2019-03-19	CY	Cyprus	1	1	14	0	1	0
ICLEI Southeast Asia Secretariat		259604814084046	Facebook	d078	2019-03-19	CY	Cyprus	1	1	11	5	0	0
Lifestyle Living by Kristina Horning, Realtor		620683444647747	Facebook	d078	2019-03-19	CY	Cyprus	1	1	7	3	0	0
Not enough		1807843692790617	Facebook	d078	2019-03-19	CY	Cyprus	3	1	7	1	0	0
Rise for Climate Belgium: Citizen Mobilization to save Humanity		458512257969541	Facebook	d078	2019-03-19	CY	Cyprus	1	1	6	3	0	0
Marco Antonio Orsini		395865050792874	Facebook	d078	2019-03-19	CY	Cyprus	1	1	4	2	0	0
YOGA BURN		146316959083110	Facebook	d078	2019-03-19	CY	Cyprus	3	1	4	0	0	0
Dorje Shugden		124479407593558	Facebook	d078	2019-03-19	CY	Cyprus	9	1	2	1	0	0
The Odd Store		2293447190676017	Facebook	d078	2019-03-19	CY	Cyprus	1	1	2	1	0	0
Il Primato Nazionale	Il Primato Nazionale	587689174620699	Facebook	d078	2019-03-19	CY	Cyprus	1	1	1	0	0	0
PolEXIT		2001582129931761	Facebook	d078	2019-03-19	CY	Cyprus	1	1	1	0	0	0
The Intercept Brasil		1754956431459064	Facebook	d078	2019-03-19	CY	Cyprus	1	1	1	0	0	0
Smart Energy TV		223797847633003	Facebook	d078	2019-03-19	CY	Cyprus	1	1	1	1	0	0
Civitas Maxima		1397642550542919	Facebook	d078	2019-03-19	CY	Cyprus	1	1	1	0	0	0
Matt Wilson		247888188644456	Facebook	d078	2019-03-19	CY	Cyprus	7	1	1	0	0	0
SAGE Publishing		121340691244235	Facebook	d078	2019-03-19	CY	Cyprus	1	1	1	0	0	0
Simona Petrík SPOLU - občianska demokracia	Hudáčková Silvia	132353247111236	Facebook	d078	2019-03-19	CY	Cyprus	1	1	0	0	0	0
