advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Corradino Mineo	Danila Tarantino	429319385345	Facebook	sardinia_IT	Sardinia, Italy	10	1	37308	9944	285	0
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	sardinia_IT	Sardinia, Italy	1	1	24798	12399	12	2
European Commission	European Commission	107898832590939	Facebook	sardinia_IT	Sardinia, Italy	3	1	24165	9778	25	5
Livio Lucà Trombetta	Livio Lucà Trombetta	432269534242217	Facebook	sardinia_IT	Sardinia, Italy	6	1	21145	4799	126	0
Donato Forcillo - candidato Parlamento Europeo M5S - Sardegna/Sicilia	Donato Forcillo	348043952450383	Facebook	sardinia_IT	Sardinia, Italy	22	1	19875	3033	767	0
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	sardinia_IT	Sardinia, Italy	5	1	15899	6588	61	11
Fabrizio Ferrandelli		73230810464	Facebook	sardinia_IT	Sardinia, Italy	1	1	12267	6134	61	12
Dino Giarrusso	Dino Giarrusso	987371561280376	Facebook	sardinia_IT	Sardinia, Italy	2	1	12061	3071	41	0
Luciano Nobili	Luciano Nobili	406187203142799	Facebook	sardinia_IT	Sardinia, Italy	5	1	5608	1204	13	0
Giuseppe Cossalter	Giuseppe Cossalter	1981132658773307	Facebook	sardinia_IT	Sardinia, Italy	3	1	5351	1070	14	0
Matteo Renzi	Matteo Renzi	113335124914	Facebook	sardinia_IT	Sardinia, Italy	2	1	3431	686	6	0
Deputati PD	Deputati PD	104652392900508	Facebook	sardinia_IT	Sardinia, Italy	3	1	3375	772	9	0
Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	sardinia_IT	Sardinia, Italy	1	1	3265	1633	16	3
Angelo Attaguile	Angelo Attaguile	1549325232064602	Facebook	sardinia_IT	Sardinia, Italy	2	1	2794	558	55	0
Daniela Poggio	ROCK communications	441486766660124	Facebook	sardinia_IT	Sardinia, Italy	5	1	2352	440	20	0
Avaaz	Avaaz	8340223883	Facebook	sardinia_IT	Sardinia, Italy	1	1	2305	1152	2	0
MoVimento 5 Stelle	MoVimento 5 Stelle	174457180812	Facebook	sardinia_IT	Sardinia, Italy	1	1	2099	419	4	0
ISPI - Istituto per gli studi di politica internazionale	ISPI - Istituto per gli studi di politica internazionale	171795872872353	Facebook	sardinia_IT	Sardinia, Italy	2	1	1853	370	6	0
Stefania Calcagno	Stefania Calcagno	528781364317789	Facebook	sardinia_IT	Sardinia, Italy	3	1	1791	298	59	0
Alessandro Fusacchia	Alessandro Fusacchia	1045017942325647	Facebook	sardinia_IT	Sardinia, Italy	2	1	1779	355	18	3
Virginia Puzzolo	Virginia Puzzolo	1950051888380307	Facebook	sardinia_IT	Sardinia, Italy	2	1	1225	0	121	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	sardinia_IT	Sardinia, Italy	4	1	1020	325	1	0
Anna Maria Bernini	Anna Maria Bernini	146169045979888	Facebook	sardinia_IT	Sardinia, Italy	4	1	861	172	17	0
Filippo Occhipinti - Europee 2019 Sicilia e Sardegna	Francesco Anzelmo	367806660496884	Facebook	sardinia_IT	Sardinia, Italy	1	1	615	123	12	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	sardinia_IT	Sardinia, Italy	1	1	582	291	1	0
