advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rm1	Last month	310	1	117392689	53998999	634155	177781
Podemos	Unidas Podemos	269212336568846	Facebook	rm1	Last month	300	1	89473903	39664747	538430	141262
Partido Popular	Partido Popular	72249031214	Facebook	rm1	Last month	3356	1	68591649	24715333	518782	59533
Ciudadanos	Ciudadanos	74078667754	Facebook	rm1	Last month	5297	1	60990702	17236000	682403	39700
COALICION CANARIA		AR489541609348661248	Google	rm1	Last month	4555	1	49765462	627125	220606	0
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rm1	Last month	230	1	46508774	20771499	110488	24818
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rm1	Last month	98	1	42116474	19171428	102917	28827
sp.a	sp.a	57253967150	Facebook	rm1	Last month	413	1	38702484	15624945	178089	38982
CDU	CDU	78502295414	Facebook	rm1	Last month	3170	1	38647830	9275000	347030	8300
AMERISOFT SRL		AR573801583431647232	Google	rm1	Last month	154	1	36354776	3592758	7222	0
FDP	FDP	21289227249	Facebook	rm1	Last month	2413	1	34818662	10691481	300718	17199
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rm1	Last month	128	1	30027796	12456807	98839	27230
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	rm1	Last month	396	1	29429603	12094000	140403	26499
România în primul rând	Future Innovation	770704223323599	Facebook	rm1	Last month	79	1	28232094	12520333	28386	7164
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	rm1	Last month	1969	1	26170000	719999	98450	0
Kialo		729627343834501	Facebook	rm1	Last month	378	1	25746622	9250000	134441	28957
PSOE	PSOE	189318235003	Facebook	rm1	Last month	335	1	25594166	10288700	78766	15059
mmb media agentur d.o.o.		AR524572049809604608	Google	rm1	Last month	1437	1	24089999	1030000	71849	0
European Greens		141366725876424	Facebook	rm1	Last month	121	1	24054212	10779666	143146	36500
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	rm1	Last month	117	1	23569225	10199666	38626	10274
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	rm1	Last month	57	1	23245944	10884500	55273	24597
SPD	SPD	47930567748	Facebook	rm1	Last month	6262	1	23180737	5100000	671438	13799
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	rm1	Last month	94	1	23026293	9980677	208389	48996
Vlaams Belang	Vlaams Belang	56605856504	Facebook	rm1	Last month	60	1	21998750	10154904	163293	42840
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	rm1	Last month	803	1	20640871	1410991	39259	0
SPÖ	SPÖ	77393060080	Facebook	rm1	Last month	793	1	20375236	6835128	165121	25402
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	rm1	Last month	860	1	18356808	6078677	173572	23874
Partito Democratico		77034286895	Facebook	rm1	Last month	135	1	16776864	7226000	51764	9800
Fidesz	Fidesz	9844779306	Facebook	rm1	Last month	82	1	15901919	7480000	50145	24608
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	rm1	Last month	911	1	15770019	5246327	216258	34999
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	rm1	Last month	774	1	15012226	5856000	220706	41774
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	rm1	Last month	24	1	14699976	6850000	52476	13199
Open Vld	Open Vld	53668151866	Facebook	rm1	Last month	369	1	14475202	5460714	103102	21299
Giorgos Patoulis	Georgios Patoulis	668804566601196	Facebook	rm1	Last month	140	1	14344860	5667000	49760	10500
Romania #nuepsd	Future Innovation	293215748279337	Facebook	rm1	Last month	35	1	13659964	6264999	8627	3613
Greenpeace France		39435457457	Facebook	rm1	Last month	30	1	13596592	6280166	55534	13116
The Brexit Party	The Brexit Party	230416667843105	Facebook	rm1	Last month	108	1	13463892	6244000	218815	63992
ČSSD	ČSSD	111041662264882	Facebook	rm1	Last month	2284	1	13154716	3197000	64375	15233
Parlement européen en France	Parlement européen en France	279757933824	Facebook	rm1	Last month	72	1	13029928	5515000	72428	18100
