week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w019	Week 19	2019-05-06	2019-05-12	AT	Austria	5003	260	43281772	13696125	469485	46420
w018	Week 18	2019-04-29	2019-05-05	AT	Austria	4477	291	35881693	12768448	337872	54614
w017	Week 17	2019-04-22	2019-04-28	AT	Austria	3257	294	21763600	7722916	200477	31246
w016	Week 16	2019-04-15	2019-04-21	AT	Austria	2256	341	11114451	3810758	87406	12265
w015	Week 15	2019-04-08	2019-04-14	AT	Austria	1934	513	9205928	3143694	73624	10705
w014	Week 14	2019-04-01	2019-04-07	AT	Austria	1513	515	6547631	2184071	57676	7682
w013	Week 13	2019-03-25	2019-03-31	AT	Austria	1213	407	5855314	2055011	50582	7212
w012	Week 12	2019-03-18	2019-03-24	AT	Austria	1031	347	5010996	1717551	45068	5325
w011	Week 11	2019-03-11	2019-03-17	AT	Austria	724	254	5045632	1904433	43460	6554
w010	Week 10	2019-03-04	2019-03-10	AT	Austria	499	157	1742690	627518	15889	1956
w009	Week 9	2019-02-25	2019-03-03	AT	Austria	356	104	1737882	655298	12384	1783
w008	Week 8	2019-02-18	2019-02-24	AT	Austria	254	90	853630	298051	11110	1589
w007	Week 7	2019-02-11	2019-02-17	AT	Austria	184	76	1040400	378902	7859	1064
w006	Week 6	2019-02-04	2019-02-10	AT	Austria	171	67	809198	279486	6815	909
w005	Week 5	2019-01-28	2019-02-03	AT	Austria	215	63	774876	246115	8799	1301
w004	Week 4	2019-01-21	2019-01-27	AT	Austria	155	48	796439	271055	8067	1181
w003	Week 3	2019-01-14	2019-01-20	AT	Austria	144	53	670885	239967	6013	980
w002	Week 2	2019-01-07	2019-01-13	AT	Austria	95	42	532897	200911	4476	771
w001	Week 1	2019-01-01	2019-01-06	AT	Austria	88	33	886796	374008	5792	1196
