media_code_filter	media_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
video	Video	CDU Christlich Demokratische Union		AR68737343799951360	Google	381	1	3810000	0	19050	0
video	Video	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	92	1	3080000	240000	4600	0
video	Video	Liberal Alliance		AR183859784640888832	Google	80	1	800000	0	4000	0
video	Video	ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	21	1	750000	60000	1050	0
video	Video	Barcelona en Comú		AR342176264901099520	Google	42	1	420000	0	2100	0
video	Video	Venstres Landsorganisation		AR283015942256984064	Google	38	1	380000	0	1900	0
video	Video	EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	7	1	250000	20000	350	0
video	Video	Sloboda a Solidarita		AR242125929453715456	Google	20	1	200000	0	1000	0
video	Video	Open VLD		AR350212320510607360	Google	20	1	200000	0	1000	0
video	Video	Párbeszéd Magyarországért		AR567356246269624320	Google	10	1	190000	10000	500	0
video	Video	COALICION CANARIA		AR489541609348661248	Google	18	1	180000	0	900	0
video	Video	Flamesite s.r.o.		AR522320249995919360	Google	18	1	180000	0	900	0
video	Video	Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	17	1	170000	0	850	0
video	Video	KW Prawo i Sprawiedliwość		AR32708546780987392	Google	16	1	160000	0	800	0
video	Video	Avante Comunicación SL		AR486291452976955392	Google	14	1	140000	0	700	0
video	Video	Tampereen Vihreät ry		AR4096230569279488	Google	13	1	130000	0	650	0
video	Video	Suomen Keskusta r.p.		AR441112520191639552	Google	12	1	120000	0	600	0
video	Video	NEA DEMOKRATIA		AR351183464155840512	Google	2	1	110000	10000	100	0
video	Video	Fianna Fáil		AR101183107301900288	Google	10	1	100000	0	500	0
video	Video	Future Innovation SRL		AR474748779908562944	Google	1	1	100000	10000	50	0
video	Video	Socialdemokratiet i Region Midtjylland		AR258908874940088320	Google	9	1	90000	0	450	0
video	Video	Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	6	1	60000	0	300	0
video	Video	Socialdemokratiet		AR237678679797268480	Google	6	1	60000	0	300	0
video	Video	Cink, s.r.o.		AR361287976015101952	Google	5	1	50000	0	250	0
video	Video	Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	5	1	50000	0	250	0
