advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partido Popular Regional De Canarias		AR288284801977286656	Google	w013	Week 13	134	1	16361322	1591095	9296	488
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	w013	Week 13	106	1	8196155	814755	1646	0
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	w013	Week 13	52	1	5866249	578614	1478	74
Suomen Keskusta r.p.		AR441112520191639552	Google	w013	Week 13	25	1	5248970	520100	86313	1493
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	w013	Week 13	2	1	2204656	220465	10551	175
Venstres Landsorganisation		AR283015942256984064	Google	w013	Week 13	9	1	1731000	172500	99930	1740
Coalición electoral Barcelona és Capital - Primàries		AR338953321442181120	Google	w013	Week 13	1	1	1000000	99999	500	49
Alternativet		AR198061076825243648	Google	w013	Week 13	2	1	999999	100000	500	49
Rumilus Design Oy		AR391102333313875968	Google	w013	Week 13	21	1	826883	79542	255	0
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	w013	Week 13	47	1	608740	49449	37807	792
Fianna Fáil		AR101183107301900288	Google	w013	Week 13	22	1	569501	50855	689	35
Fondation Populaire		AR320938922932699136	Google	w013	Week 13	4	1	566152	56615	16043	283
Petteri Rädyn tukiyhdistys ry		AR427131130332839936	Google	w013	Week 13	12	1	545819	54080	22098	429
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	w013	Week 13	35	1	533187	46198	50090	1008
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	w013	Week 13	21	1	518562	48627	6854	234
Saku Petteri Räty		AR196651502918434816	Google	w013	Week 13	18	1	487384	43333	11424	289
SOCIALDEMOKRATIET		AR271193993235136512	Google	w013	Week 13	4	1	399999	40000	2000	199
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	w013	Week 13	1	1	304347	30434	9130	152
TOP 09		AR268709096956362752	Google	w013	Week 13	37	1	272857	13333	764	0
Savo-Karjalan vihreät ry		AR343251587273064448	Google	w013	Week 13	24	1	217058	19411	211	0
Varsinais-Suomen Kokoomus ry		AR199136399197208576	Google	w013	Week 13	38	1	197512	8750	2932	259
CENTERPARTIETS RIKSORGANISATION		AR484881879070146560	Google	w013	Week 13	36	1	157760	0	848	6
Let's do it media SRL		AR494327508586463232	Google	w013	Week 13	2	1	110000	10000	100	0
Jukka Kopra		AR232680299937398784	Google	w013	Week 13	6	1	102993	9376	19335	347
Antikorupcija-platforma za borbu protiv korupcije		AR441827202749693952	Google	w013	Week 13	1	1	100000	10000	50	0
Maailman Paras Pääkaupunki ry		AR221113437613195264	Google	w013	Week 13	14	1	93227	5600	1257	115
Kankaanpään Työväenyhdistys ry		AR217573010171756544	Google	w013	Week 13	21	1	91629	6682	266	12
Yhteinen hyvä ry		AR296997332115783680	Google	w013	Week 13	22	1	90799	2800	785	50
Pirkanmaan Kokoomus ry		AR571246318408695808	Google	w013	Week 13	3	1	82315	8231	16931	293
Hämeen Uusi Suunta ry		AR330633591832707072	Google	w013	Week 13	2	1	60000	6000	300	30
Gestion et Action Libérale		AR201311233196949504	Google	w013	Week 13	31	1	52830	1320	4457	99
Občanská demokratická strana		AR37429025076936704	Google	w013	Week 13	1	1	49999	5000	250	24
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	w013	Week 13	18	1	35660	1320	4431	105
Janika Takatalo		AR113027046556303360	Google	w013	Week 13	9	1	25550	0	127	0
SPD Berlin		AR257142234632159232	Google	w013	Week 13	2	1	25217	1521	4615	76
Michael Aastrup Jensen		AR92226485582036992	Google	w013	Week 13	1	1	20588	2058	102	10
Vapaus ry		AR124593908880506880	Google	w013	Week 13	3	1	14507	0	72	0
SPÖ-Landesorganisation Burgenland		AR345765070854160384	Google	w013	Week 13	5	1	6629	0	153	13
Freiheitliche Partei Österreich		AR333020356698701824	Google	w013	Week 13	3	1	4171	0	20	0
Alternative für Deutschland		AR380456861733748736	Google	w013	Week 13	1	1	3750	0	18	0
Dansk Folkeparti - Århus Lokalforening		AR167070242084749312	Google	w013	Week 13	2	1	3684	0	18	0
SPD		AR456734381399080960	Google	w013	Week 13	1	1	1627	0	8	0
GroenLinks		AR148211418645135360	Google	w013	Week 13	1	1	1320	0	6	0
