advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Lietuvos socialdemokratų partija - LSDP	Lietuvos socialdemokratų partija - LSDP	202360056491831	Facebook	d136	2019-05-16	LT	Lithuania	42	1	428760	186486	692	112
European Parliament		178362315106	Facebook	d136	2019-05-16	LT	Lithuania	16	1	371848	158081	1284	382
Gitanas Nausėda	Gitanas Nausėda	684534791927883	Facebook	d136	2019-05-16	LT	Lithuania	23	1	233807	100171	700	82
Darbo partija	Darbo partija	264116120225	Facebook	d136	2019-05-16	LT	Lithuania	17	1	172995	59099	665	64
Lietuvos valstiečių ir žaliųjų sąjunga	Lietuvos valstiečių ir žaliųjų sąjunga	190209177745566	Facebook	d136	2019-05-16	LT	Lithuania	16	1	168707	53742	416	0
Antanas Guoga	Lietuvos Centro Partijos rinkimų sąskaita	18276748821	Facebook	d136	2019-05-16	LT	Lithuania	8	1	152997	68749	614	191
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	d136	2019-05-16	LT	Lithuania	24	1	96696	23100	313	0
Liberalai	Liberalai	81004804444	Facebook	d136	2019-05-16	LT	Lithuania	81	1	84472	23166	1167	20
Viktoras Uspaskich	Darbo partija	160851767470	Facebook	d136	2019-05-16	LT	Lithuania	8	1	58202	11641	261	0
Karolina Štelmokaitė	LVŽS	763068560724258	Facebook	d136	2019-05-16	LT	Lithuania	7	1	53997	10699	217	0
Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD)	TS-LKD	198988713464683	Facebook	d136	2019-05-16	LT	Lithuania	11	1	46579	8916	427	0
Už Ingridą		2214495192154107	Facebook	d136	2019-05-16	LT	Lithuania	9	1	22542	6659	330	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d136	2019-05-16	LT	Lithuania	6	1	22184	8102	71	3
Laima Mogenienė	LVŽS partija (EP rinkimų sąskaita)	334338600540343	Facebook	d136	2019-05-16	LT	Lithuania	18	1	20177	4125	367	0
European Greens		141366725876424	Facebook	d136	2019-05-16	LT	Lithuania	6	1	17734	7151	62	15
Europos Parlamento biuras Lietuvoje	Europos Parlamento biuras Lietuvoje	188014250186	Facebook	d136	2019-05-16	LT	Lithuania	2	1	12499	2500	69	0
Dovilas Petkus	Katelynas Martynas	666697733748899	Facebook	d136	2019-05-16	LT	Lithuania	1	1	12499	2500	24	0
Tatjana Babrauskienė	Babrauskiene Tatjana	1101509610035530	Facebook	d136	2019-05-16	LT	Lithuania	4	1	9554	1811	129	0
Mindaugas Puidokas	Puidokas Mindaugas	1739968129576961	Facebook	d136	2019-05-16	LT	Lithuania	2	1	3332	666	65	0
VoteWatch Europe		355087424564148	Facebook	d136	2019-05-16	LT	Lithuania	7	1	1328	577	2	0
Robertas Šarknickas	LVŽS	880209082011396	Facebook	d136	2019-05-16	LT	Lithuania	2	1	997	0	98	0
Dvi Tylos		1652505418335722	Facebook	d136	2019-05-16	LT	Lithuania	2	1	666	0	66	0
Greens/EFA in the European Parliament		150527751674751	Facebook	d136	2019-05-16	LT	Lithuania	3	1	502	100	2	0
Talking Europe		316028505828375	Facebook	d136	2019-05-16	LT	Lithuania	2	1	268	127	1	0
ALDE Group – Liberals and Democrats in the European Parliament	ALDE Group in the European Parliament. 	123910440019	Facebook	d136	2019-05-16	LT	Lithuania	2	1	259	51	0	0
Guardian Weekly		64525551258	Facebook	d136	2019-05-16	LT	Lithuania	4	1	226	45	0	0
Jaunųjų konservatorių lyga	Vaitkevicius	269533485196	Facebook	d136	2019-05-16	LT	Lithuania	1	1	111	0	11	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	d136	2019-05-16	LT	Lithuania	1	1	108	21	0	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	d136	2019-05-16	LT	Lithuania	1	1	94	47	0	0
Vilija Blinkevičiūtė	Lietuvos socialdemokratų partija - LSDP	1551002341778947	Facebook	d136	2019-05-16	LT	Lithuania	1	1	55	0	5	0
Climate-KIC		403370709744295	Facebook	d136	2019-05-16	LT	Lithuania	1	1	55	27	0	0
AGACAD Tools4Revit		112782242126020	Facebook	d136	2019-05-16	LT	Lithuania	1	1	44	0	4	0
Tuunes		992176580926495	Facebook	d136	2019-05-16	LT	Lithuania	4	1	37	16	0	0
European Committee of the Regions		527351247377965	Facebook	d136	2019-05-16	LT	Lithuania	1	1	31	15	0	0
ETUC		129041250601685	Facebook	d136	2019-05-16	LT	Lithuania	1	1	24	12	0	0
Européens Sans Frontières		668031516635463	Facebook	d136	2019-05-16	LT	Lithuania	7	1	24	10	0	0
TransformingTransport		1635700990066863	Facebook	d136	2019-05-16	LT	Lithuania	1	1	15	3	0	0
RSM MBA		110428762358678	Facebook	d136	2019-05-16	LT	Lithuania	3	1	14	6	0	0
EURACTIV		15299247059	Facebook	d136	2019-05-16	LT	Lithuania	1	1	8	1	0	0
Alpine Garden Society		239451772739772	Facebook	d136	2019-05-16	LT	Lithuania	1	1	7	3	0	0
Miapetra Kumpula-Natri	Euroopassa Suomen tähden  / Miapetra Kumpula-Natri	922311201130062	Facebook	d136	2019-05-16	LT	Lithuania	1	1	6	1	0	0
Academic Stories		1462157503898233	Facebook	d136	2019-05-16	LT	Lithuania	2	1	6	1	0	0
Jaunā Vienotība	Partiju apvienība “Jaunā Vienotība”	164326166970895	Facebook	d136	2019-05-16	LT	Lithuania	2	1	5	1	0	0
FT Content Solutions		1220981994590364	Facebook	d136	2019-05-16	LT	Lithuania	2	1	4	0	0	0
EnergyXL		653767081747310	Facebook	d136	2019-05-16	LT	Lithuania	1	1	3	1	0	0
NewsMavens		145218379355757	Facebook	d136	2019-05-16	LT	Lithuania	1	1	3	0	0	0
S&P Global		112495188784373	Facebook	d136	2019-05-16	LT	Lithuania	5	1	3	0	0	0
Urszula Pasławska	KWW Koalicja Europejska PO PSL SLD .N Zieloni	149179815186721	Facebook	d136	2019-05-16	LT	Lithuania	2	1	2	1	0	0
Open Society Foundations		18983389920	Facebook	d136	2019-05-16	LT	Lithuania	5	1	2	0	0	0
Exponea		437489159794764	Facebook	d136	2019-05-16	LT	Lithuania	12	1	2	0	0	0
